,message,ID
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
17:00:00,keep the peace-crowd control/abila city park,9
17:03:44,pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,47
17:04:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,54
17:10:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,100
17:11:00,rt @internationalnews pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,118
17:11:59,music povided by abila's hometown favorite viktor-e,132
17:13:01,"dr. audrey mcconnell newman, internationally recognized environmental activist, traveled to abila to speak for the pok rally",150
17:14:59,rt @pok music povided by abila's hometown favorite viktor-e,181
17:16:00,bert hanns: we are so very happy to be a part of this day of peace and love at abila city park.,204
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:19:00,rt @viktor-e bert hanns: we are so very happy to be a part of this day of peace and love at abila city park.,248
17:24:31,abila post says pok rally peaceful tell that to the people they kidnapped #pok #terror,325
17:26:58,1200 terrorists in abila city park and the police does nothing #pok #terrorists,379
17:33:45,rt @centralbulletin police have closed streets surrounding pok rally in abila #abila #centralbulletin,484
17:40:00,booking abila city park for the human trafficking rally in march #savepeople,551
17:42:00,abila police corruption scandal - the #pok connection.  smad.co.kronos/1s923k9,567
17:44:00,rt @officia1abilapost abila police corruption scandal - the #pok connection.  smad.co.kronos/1s923k9,589
17:44:30,a lot of passionate singing at abila city park today - all for a great cause,599
17:46:11,"there's still time to join the band at the abila city park, viktor-e will be playing after the pok presentations are done!",608
17:48:00,professor lorenzo di stefano teaches environmental science at abila u,622
17:49:00,next up is professor lorenzo di stefano of univ of abila to talk about corporate social responsibility,630
17:51:23,prof de stefano teaches environmental science at the university of abila,661
17:53:48,environmental science professor lorenzo di stefano of u. of abila is addressing the raly #pokrally #abilapost,676
17:55:23,rt @maha_homeland prof de stefano teaches environmental science at the university of abila,693
17:56:48,rt @abilapost environmental science professor lorenzo di stefano of u. of abila is addressing the raly #pokrally #abilapost,706
18:14:13,ha! the press is here in force -- homeland deludednation and the abila boast. lovely #pokrally,882
18:25:00,just found some local hot peppers at the abila market. feelin' the burn! #abilafire,986
87,i think the dancin dolphin is on fire!,1151
18:43:04,building fire at achilleos & madeg in abila #newsonline,1167
18:44:10,rt @kronosstar abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1187
18:44:22,building fire reported in east abila police and fire dispatched #abila #centralbulletin,1193
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:45:22,rt @kronosstar abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1226
18:45:22,dancing dolphin apartment complex identified as location of abila fire #abila #centralbulletin,1228
18:45:32,flames visible from the second floor at the dancing dolphin apartments in abila #newsonline,1239
18:47:00,abila fire department on the scene of dancing dolphin fire at achilleos & madeg assessing the extent of the fire #afd,1300
18:47:03,abila fire department has dispatched an ambulance to assist at the dancing dolphin fire. #kronosstar,1307
18:47:09,residents being saved from dancing dolphin fire in abila. #newsonline,1315
18:47:11,where's the rave in east abila tomorrow night? #abila #rave,1324
105,POLICE UNIT DISPATCHED-CROWD CONTROL,1363
18:48:11,rt @cleaningfish where's the rave in east abila tomorrow night? #abila #rave,1366
18:48:57,abila pd has called for additional support. #kronosstar,1371
18:49:03,rt @kronosstar abila fire department has dispatched an ambulance to assist at the dancing dolphin fire. #kronosstar,1388
18:49:57,rt @kronosstar abila pd has called for additional support. #kronosstar,1403
18:52:00,abila fire department fire truck #23 has arrived at dancing dolphin apartment #afd,1436
18:53:10,abila fire department has ordered the evacuation of nearby buildings as a precaution for fire at achilleos & madeg?#afd,1481
111,Police are flooding the scene,1513
18:55:02,counseling is available for those in distress at abila all-faiths church.,1520
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:56:00,rt @abilafiredept abila fire department fire truck #23 has arrived at dancing dolphin apartment #afd,1532
18:58:46,nearby residents being evacuated in dancing dolphin fire in abila. #newsonline,1574
19:00:31,do not lose faith!  abila all-faiths church is here to support #victims #dancingdophinsfire,1609
19:02:00,thank abila firefighters for saving me! #afd,1630
19:02:31,rt @abilaallfaith do not lose faith!  abila all-faiths church is here to support #victims #dancingdophinsfire,1653
19:10:00,abila fire department trucks 12 & 30 have arrived?at the dancing dolphin fire to relieve trucks 41 and 57 #afd?,1759
19:11:00,rt @newsonlinetoday trapped resident rescued in abila fire. #abila #newsonline,1772
19:11:45,abila fd has requested two fresh fire units to replace the original responding units. #kronosstar #dancingdolphinfire,1778
19:15:00,fire sale! huge furniture sale in downtown abila #welksfurniture,1815
127,Wow - more police #abilafire,1829
19:20:00,abila drivers are the worst! #jerkdrivers,1900
19:21:01,abila police department reports a bicyclist has been struck on the 500 block of schaber between eira and edessis #apd,1923
19:22:01,rt @abilapolicedepartment abila police department reports a bicyclist has been struck on the 500 block of schaber between eira and edessis #apd,1947
19:24:00,rt @abilapolicedepartment abila police department releases a partial license plate number for hit and run vehicle l829 #apd,1980
19:26:00,rt @abilafiredept abila fire department announces expansion of evacuation area #afd,2024
19:26:13,expansion of evacuation perimeter in abila fire #abila #centralbulletin,2030
19:27:00,"additional residents being evacuated in dancing dolphin fire in abila, #newsonline",2048
19:28:00,"rt @newsonlinetoday additional residents being evacuated in dancing dolphin fire in abila, #newsonline",2060
19:36:00,abila police are in pursuit of an erratic driver who ran a red light on polvo.  #kronosstar,2157
19:40:22,breaking news abila police report shots fired at gelato galore near the city park.,2241
19:40:29,abila police report shots fired at business #abila,2249
19:41:00,report of gun fire at abila business #abila #centralbulletin,2268
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:22,rt @homelandilluminations breaking news abila police report shots fired at gelato galore near the city park.,2347
19:42:22,breaking news in abila! shots fired at gelato galore. police officer is down. #intnews,2352
19:45:03,rt @truccotrucco omg abila post says a cop got shot! what is happening??????,2508
19:48:41,rt @internationalnews abila police department is keeping people away from the scene of the shooting. #intnews,2636
19:50:00,dancing dolphin fire in abila continues. hoping for the best. #newsonline,2669
19:51:13,abila post says police officer is wounded not sure if i trust that #pok #copkiller,2689
19:54:00,rt @newsonlinetoday dancing dolphin fire in abila continues. hoping for the best. #newsonline,2720
19:56:57,abila police swat team has arrived at scene of stand off #abila #centralbulletin,2756
19:59:31,abila situation has escalated and now involved the swat unit. #intnews,2810
237,They just put him in an ambulance #hurtfirefighter #abilafire,2900
20:07:09,paramedics are taking the firefighter to abila general hospital. #kronosstar #dancingdolphinfire #afdheroes,2946
20:07:09,paramedics have taken injured firefighter to abila hospital?#afd #abilapost,2947
20:07:09,wow - welcome to abila. why did i move here again? #missingtethys,2950
20:07:09,abila police office in stable condition after being wounded at the shooting. #abila #intnews,2957
20:08:09,rt @abilapost paramedics have taken injured firefighter to abila hospital?#afd #abilapost,2974
20:10:17,injured firefighter in dancing dolphin fire in abila. #newsonline,3025
20:10:22,abila police negotiating with gunmen for peaceful solution #abila,3033
20:12:17,rt @newsonlinetoday injured firefighter in dancing dolphin fire in abila. #newsonline,3080
20:15:01,#dancingdolphinfire is a sign - corrupt abila must be punished,3118
20:26:15,hey abila post: terrorism is bad for business #pok,3292
20:32:52,abila fire is under control. #newsonline,3381
20:33:52,rt @newsonlinetoday abila fire is under control. #newsonline,3404
20:46:07,abila police swat still in stand off #abila #centralbulletin,3553
21:02:00,rt @newsonlinetoday abila fire flares up. top floor has collapsed. #abila #newsonline,3717
21:15:00,abila fire department reports fire is not yet controlled - residents should wait to return to their homes #afd,3816
21:25:00,abila fire department urges citizens to please avoid the dancing dolphin as fire is not completely controlled #afd,3978
21:30:00,abila fire department reports an explosion at the dancing dolphin fire at achilleos & madeg #afd,4036
