,message,ID
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
84,POSSIBLE FIRE-REPORT,1124
18:42:10,abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1149
18:42:10,abila fire department has dispatched two fire trucks to the dancing?dolphin apartments at?achilleos & madeg #afd?,1150
87,i think the dancin dolphin is on fire!,1151
18:42:45,fire at the dancing dolphin apartment complex. #abila #intnews,1158
18:43:45,rt @internationalnews fire at the dancing dolphin apartment complex. #abila #intnews,1176
18:44:10,rt @kronosstar abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1187
18:44:22,abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1192
18:45:00,continuing fire at the dancing dolphin apartment #abila #intnews,1210
18:45:00,the location of the fire has been identified as the dancing dolphin apartment complex #abilapost,1211
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:45:22,rt @kronosstar abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1226
18:45:22,dancing dolphin apartment complex identified as location of abila fire #abila #centralbulletin,1228
18:45:22,smoke from first two floors of dancing dolphin apartments. fire officials on site. #hi,1229
18:45:31,smoke is coming from the windows of the second floor of the dancing dolphin apartments. #kronosstar,1236
18:45:31,homeland illumation on site.  flames visible from second floor of six floor apartment building. #hi,1237
18:45:32,flames visible from the second floor at the dancing dolphin apartments in abila #newsonline,1239
18:46:00,rt @abilapost the location of the fire has been identified as the dancing dolphin apartment complex #abilapost,1259
18:46:10,rt @abilafiredept abila fire department has dispatched two fire trucks to the dancing?dolphin apartments at?achilleos & madeg #afd?,1272
18:46:21,fire officials report they do not yet know if apartment is currently occupied. #hi,1278
18:47:00,rt @internationalnews continuing fire at the dancing dolphin apartment #abila #intnews,1292
18:47:00,my apartment is filling up with smoke - help i'm in apartment 301!!!! #helpme,1301
18:47:09,abila fire department has dispatched an additional fire truck to dancing dolphin apartment fire #afd,1316
18:47:31,rt @homelandilluminations homeland illumation on site.  flames visible from second floor of six floor apartment building. #hi,1335
18:47:31,abila fire department indicates dancing dolphin apartment is a six story structure with the bottom three stories currently occupied #afd?,1337
18:50:21,residents report top floors of apartments were unoccupied. #hi,1410
18:52:00,abila fire department fire truck #23 has arrived at dancing dolphin apartment #afd,1436
18:52:27,residents?continue making their way out of the apartment building unclear how many are still inside #abilapost,1460
18:53:27,rt @abilapost residents?continue making their way out of the apartment building unclear how many are still inside #abilapost,1492
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:56:00,rt @abilafiredept abila fire department fire truck #23 has arrived at dancing dolphin apartment #afd,1532
19:02:00,resident rescued from upper floors of dancing dolphin apartment #abila #centralbulletin,1629
127,Wow - more police #abilafire,1829
19:17:00,fire continues at dancing dolphn apartments #abila #intnews,1841
19:18:00,rt @internationalnews fire continues at dancing dolphn apartments #abila #intnews,1859
19:25:00,tada! stage 3. wide the area so that government agents can inspect your apartment for your protection!,2003
157,"They are getting ready to go house to house I""""m really worried #abilafire""""",2049
19:29:00,rt @trollingsnark tada! stage 3. wide the area so that government agents can inspect your apartment for your protection!,2076
193,OMG Abila Post says a cop got shot! what is happening??????,2332
237,They just put him in an ambulance #hurtfirefighter #abilafire,2900
21:30:00,there has been an explosion from inside the apartment building.  several people are down. #kronosstar #dancingdolphinfire #afdheroes,4034
308,OMG was that an explosion ? #abilafire,4038
21:30:45,explosion heard at dancing dolphin apartment #abila #centralbulletin,4048
21:31:00,rt @kronosstar there has been an explosion from inside the apartment building.  several people are down. #kronosstar #dancingdolphinfire #afdheroes,4052
21:31:45,rt @centralbulletin explosion heard at dancing dolphin apartment #abila #centralbulletin,4054
