,message,ID
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:19:00,note to apd: save time and arrest them all now! #pokrally,254
105,POLICE UNIT DISPATCHED-CROWD CONTROL,1363
111,Police are flooding the scene,1513
113,Oh man they are evacuating the nearby buildings #abilafire,1524
19:39:40,scary looking apd says #evacuate,2210
19:43:11,apd has one unit on site.,2387
19:43:37,officials are asking public to be patient while apd resolves the issue. #kronosstar,2413
19:43:40,rt @redisrad scary looking apd says #evacuate,2419
19:44:11,apb reports more apd units en route,2454
19:45:00,apd is evacuating the area and ask that the public refrain from gawking  #kronosstar,2505
19:45:11,rt @homelandilluminations apd has one unit on site.,2512
19:45:11,rt @homelandilluminations apb reports more apd units en route,2513
19:45:37,rt @kronosstar officials are asking public to be patient while apd resolves the issue. #kronosstar,2533
19:46:00,rt @kronosstar apd is evacuating the area and ask that the public refrain from gawking  #kronosstar,2548
19:46:00,additional apd units on site of hostage scene,2556
19:47:00,rt @homelandilluminations additional apd units on site of hostage scene,2593
19:47:00,additional apd units have been called to the scene of the shooting near general grocer and gelato galore. #kronosstar,2599
19:48:00,rt @kronosstar additional apd units have been called to the scene of the shooting near general grocer and gelato galore. #kronosstar,2622
19:55:00,apd swat has arrived at the scene of the shooting at gelato galore. #kronosstar #apdswat,2732
19:58:13,apd reports the shooter near gelato galore and general grocer has a hostage. #kronosstar,2790
20:00:00,apd transitioning command to swat. #kronosstar,2823
20:02:13,rt @kronosstar apd reports the shooter near gelato galore and general grocer has a hostage. #kronosstar,2843
20:04:00,rt @kronosstar apd transitioning command to swat. #kronosstar,2847
20:01:11,apd stop the terrorists before they cut the hostages head off! #pok,2850
20:04:11,rt @friendsofkronos apd stop the terrorists before they cut the hostages head off! #pok,2885
20:05:00,apd is evacuating the businesses near the gelato galore standoff. #kronosstar,2906
238,#APD is evacuating us #standoff,2907
20:05:45,reports from hospital that apd officer in serious but stable condition. #kronosstar,2916
20:06:00,rt @kronosstar apd is evacuating the businesses near the gelato galore standoff. #kronosstar,2924
239,i think there's a hostage - why isnt #APD doing more #standoff,2931
20:06:45,rt @kronosstar reports from hospital that apd officer in serious but stable condition. #kronosstar,2935
20:10:17,apd is negotiating with gunmen for peaceful solution.,3028
20:11:17,rt @homelandilluminations apd is negotiating with gunmen for peaceful solution.,3063
20:20:02,standoff between apd and shooters continues at gelato galore. #kronosstar,3185
20:21:02,rt @kronosstar standoff between apd and shooters continues at gelato galore. #kronosstar,3200
20:21:13,apd should hire me,3213
262,why dont the cops do anything? save us pls! #APD #standoff,3402
291,everybody standing up watching cops are taking two away #standoff,3810
294,everybody's safe cops got the bad guys and the hostages are safe #standoff,3848
21:20:50,tahnks to apd standoff is over! #apdheroes,3889
299,tahnks to APD standoff is over! #APDheroes,3889
21:21:39,great work apd you negotiated with terrorists - bullets are swift justice #pok,3914
21:24:13,apd wont release names bet you i can guess there employer #gastech,3968
21:24:39,rt @friendsofkronos great work apd you negotiated with terrorists - bullets are swift justice #pok,3972
