,message,ID
17:00:00,come join us in the park! music tonight at abila city park!,2
17:00:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#kronosstar,3
17:00:00,pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,4
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
17:00:00,keep the peace-crowd control/abila city park,9
17:01:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,17
17:03:44,pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,47
17:04:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,54
17:10:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,100
17:11:00,rt @internationalnews pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,118
17:16:00,bert hanns: we are so very happy to be a part of this day of peace and love at abila city park.,204
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
15,gotta be 3000 people here! #POK is strong,233
17:19:00,rt @viktor-e bert hanns: we are so very happy to be a part of this day of peace and love at abila city park.,248
20,lots of cops but they cant stop us #POK,276
27,so many people here this is awesome! POK is peace! #POKRallyinthepark,352
17:26:58,1200 terrorists in abila city park and the police does nothing #pok #terrorists,379
17:28:58,rt @friendsofkronos 1200 terrorists in abila city park and the police does nothing #pok #terrorists,434
17:40:00,booking abila city park for the human trafficking rally in march #savepeople,551
17:43:00,rt @junk99902 booking abila city park for the human trafficking rally in march #savepeople,580
17:44:30,a lot of passionate singing at abila city park today - all for a great cause,599
17:46:11,"there's still time to join the band at the abila city park, viktor-e will be playing after the pok presentations are done!",608
110,"Viktor-E playing my favorite """"Stand up Speak up""""! #POKRallyinthepark""""",1485
115,join the POK and make a differnce #POK,1636
19:05:00,stay with us to hear viktor-e play in the abila city park!,1696
125,dancin time! thanks #POK thanks Sylvia! #POK is peace!,1818
19:40:22,breaking news abila police report shots fired at gelato galore near the city park.,2241
19:40:29,omc what is happening to this city #fire #shooting #kidnapping #repent,2250
19:41:07,what is abila coming to? used to be a peaceful city before pok started their peaceful movement #pok #terror,2274
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:22,rt @homelandilluminations breaking news abila police report shots fired at gelato galore near the city park.,2347
258,we suport the POK's fight for the people of Kronos #POK #APA,3341
20:45:00,fund raiser for homeless kids- supported by #afd meeting this weekend at the city park #abilacitypark,3536
20:48:00,rt @grlpwrz505 fund raiser for homeless kids- supported by #afd meeting this weekend at the city park #abilacitypark,3568
