,message,ID
17:00:00,keep the peace-crowd control/abila city park,9
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
20,lots of cops but they cant stop us #POK,276
17:28:02,crowd control-street closure,418
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:48:02,police unit dispatched-crowd control,1363
105,POLICE UNIT DISPATCHED-CROWD CONTROL,1363
111,Police are flooding the scene,1513
113,Oh man they are evacuating the nearby buildings #abilafire,1524
19:00:31,fire is still out of control  smoke continues to pour from windows. #hi,1608
19:02:31,rt @homelandilluminations fire is still out of control  smoke continues to pour from windows. #hi,1650
19:10:00,more fire trucks at scene.  officials report fire is not under control. #hi,1757
19:16:07,an additional police unit has arrived at the scene to help with crowd control. #kronosstar #dancingdolphinfire,1827
19:16:07,more police have arrived for evacuation and crowd control #hi,1828
127,Wow - more police #abilafire,1829
19:16:07,more crowd control. wait for it. wait for it...,1831
19:17:00,i told you last week the government was looking to try out their new citizen control weapons.#livetests,1844
19:17:00,"check out the new issue of arise, a magazine for people who want to take control of their destiny?#arise #pok",1845
19:17:07,rt @kronosstar an additional police unit has arrived at the scene to help with crowd control. #kronosstar #dancingdolphinfire,1847
19:17:07,rt @homelandilluminations more police have arrived for evacuation and crowd control #hi,1850
19:19:00,"rt @footfingers check out the new issue of arise, a magazine for people who want to take control of their destiny?#arise #pok",1874
19:20:00,additional fire trucks arrive. fire still out of control. #hi,1893
19:21:00,rt @homelandilluminations additional fire trucks arrive. fire still out of control. #hi,1917
19:41:07,"black van faces off two cop cars, shots fired, people undercover, not moving until its under control #troubleatgelato",2275
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:44:07,"rt @megaman black van faces off two cop cars, shots fired, people undercover, not moving until its under control #troubleatgelato",2452
218,cops are leaving without violence #peacerules #POK,2596
20:25:00,officials report fire might be under control. #hi,3270
20:28:42,officials state fire is under control. #hi,3323
20:29:42,rt @homelandilluminations officials state fire is under control. #hi,3333
20:32:52,abila fire is under control. #newsonline,3381
20:33:52,rt @newsonlinetoday abila fire is under control. #newsonline,3404
20:35:09,afd has summoned three additional fire units to help control the blaze. #kronosstar #dancingdolphinfire #afdheroes,3438
20:37:09,rt @kronosstar afd has summoned three additional fire units to help control the blaze. #kronosstar #dancingdolphinfire #afdheroes,3472
20:50:00,fire officials have begun control measures on surrounding buildings. #hi,3594
20:51:00,rt @homelandilluminations fire officials have begun control measures on surrounding buildings. #hi,3609
21:15:00,afd says the fire is nearly under control. #kronosstar #dancingdolphinfire #afdheroes,3814
21:15:00,"fire officials still on site, report fire is under control. #hi",3815
21:15:00,abila fire department reports fire is not yet controlled - residents should wait to return to their homes #afd,3816
21:16:00,"rt @homelandilluminations fire officials still on site, report fire is under control. #hi",3833
21:18:14,looks like the mind control works. if i start talking about how great the government you'll know they got to me,3861
21:22:00,fire @dancingdolphin appears to be under control #afd?& #apd?are still on site #abilapost,3917
21:22:00,officials report fire is controlled.  no word yet on when nearby residents can return to their homes. #hi,3918
21:23:00,rt @homelandilluminations officials report fire is controlled.  no word yet on when nearby residents can return to their homes. #hi,3931
21:23:03,fire at dancing dolphin under control fire & police still on scene #abila #centralbulletin,3935
21:24:03,rt @centralbulletin fire at dancing dolphin under control fire & police still on scene #abila #centralbulletin,3961
21:25:00,abila fire department urges citizens to please avoid the dancing dolphin as fire is not completely controlled #afd,3978
