,message,ID
17:00:00,massive rally of pok terrorists - cops are gathered waiting for arrests,8
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:18:33,the cops look scared cuz they know they serve corrupt masters #pok,242
17:20:00,cops are everywhere tonite i hop etheres no trouble,263
17:20:33,rt @ourcountryourrights the cops look scared cuz they know they serve corrupt masters #pok,271
17:22:00,rt @anaregents cops are everywhere tonite i hop etheres no trouble,285
17:22:00,rt @truccotrucco lots of cops but they cant stop us #pok,286
18:46:11,cop time! come on!!! #startseomething,1275
19:35:07,henri -bike guy- done talking to coppers now looking at his trashed bike.,2143
19:40:00,omg dude in a black van is shooting at the cops!  bullets everywhere.,2231
176,cops?r right behind - whats up? think that was gunshots #CRAZY,2236
19:40:22,omg the cops are here for me!,2239
19:40:22,better than expected - cops block van at gelato. moving to get a better view.,2240
19:40:22,cops outside i think there's something wrong,2242
19:40:29,so van tried a t-turn to exit; cop blocked him off; van and cop doors open #troubleatgelato,2247
19:40:41,i think a cop got shot! hes down?n might be dead,2260
19:41:00,i think a cop got hit!,2269
19:41:07,"black van faces off two cop cars, shots fired, people undercover, not moving until its under control #troubleatgelato",2275
19:41:13,never been so scared under the table in gelatogalore cant see much just cop lights,2280
19:41:13,"@ben @george can't see whos in the van yet, one cop",2282
19:41:13,nooooo! a cop just got killed - the shooter is still in the gelatogalore parking lot,2283
19:41:22,hope the cop isn't dead,2289
19:41:22,cop down? #troubleatgelato,2290
19:41:29,someone tell cops we're in here,2296
19:41:33,cops and the van dude are hiding behind their doors - just like the movies,2300
19:41:57,cop shot at gelatogalore by pok terrorist knew it was only a matter of time #pok #terror,2325
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:03,cop killed by pok terorists! where does the violence stop? #pok #terror,2333
19:43:00,rt @protoguy omg dude in a black van is shooting at the cops!  bullets everywhere.,2370
19:43:00,rt @sofitees cops?r right behind - whats up? think that was gunshots #crazy,2371
19:43:00,stay away from gelatogalore terrorists shooting cops! #pok #terror,2375
19:43:00,i thinkthe cop got hurt,2376
19:43:11,who shoots a cop? who are these maniacs?!?!,2385
19:43:22,rt @megaman cop down? #troubleatgelato,2392
19:43:22,the cop isn't moving,2393
19:43:22,omg! the cop got shot and still isnt moving i cant belivef it whats happeningn?,2397
19:43:37,somany cops i cant beleive this is happening just wanted coffee,2414
19:43:41,rt @sofitees i think a cop got shot! hes down?n might be dead,2420
19:43:46,ambulance is here for the cop- wonder if he'll be okay #praying,2428
19:43:57,i wonder who this van dude is he looks like he wants to kill the cops,2434
19:43:57,@ben its a cop. not sure his status.,2435
19:44:03,rt @friendsofkronos cop killed by pok terorists! where does the violence stop? #pok #terror,2449
19:44:11,cop and buddy run out to ambulance. #tag,2453
19:44:22,rt @prettyrain cops outside i think there's something wrong,2460
19:44:23,looks like there are 3 cop cars and the black van two people in the front of van #shooting,2461
19:44:46,rt @simon_hamaeth ambulance is here for the cop- wonder if he'll be okay #praying,2487
19:44:57,rt @megaman @ben its a cop. not sure his status.,2494
19:45:00,the guy is screaming at the cops and waving a gun why arentt they shooting him just shot a cop,2507
19:45:13,"rt @megaman @ben @george can't see whos in the van yet, one cop",2519
19:45:22,rt @protoguy hope the cop isn't dead,2521
19:45:22,cops everywhere!,2525
19:46:00,more cops have arrived someone just saw #shooting,2553
19:46:00,just realized the cops shot a lot of bullets and didn't hit the van dude,2555
19:46:11,rt @megaman cop and buddy run out to ambulance. #tag,2562
19:46:22,rt @brontes_riff cops everywhere!,2567
19:46:41,don't our cops practice with their guns?,2579
19:46:47,cops are leaving! cops are scared of the power of community #pokrally,2583
19:47:00,cops are leaving without violence #peacerules #pok,2596
19:47:00,more cops have come this is getting real,2598
19:48:23,rt @truccotrucco looks like there are 3 cop cars and the black van two people in the front of van #shooting,2630
19:49:00,the cops are scared of the people rising up against the system #pok,2647
19:49:00,looks the cop might be up now #apd,2649
19:50:00,rt @panopticon looks the cop might be up now #apd,2668
223,ambulance has arrived hopefully getting the cop to the hospital fast praying hes OK #shooting,2673
19:50:00,ambulance has arrived hopefully getting the cop to the hospital fast praying hes ok #shooting,2673
19:50:00,ambulance has shown up for the injured cop,2674
19:52:33,i hope the hurt cop is okay,2704
19:52:33,they took the cop in an ambulance must not be dead.,2705
19:52:33,an ambulance just took the cop away hope he isnt hurt tooo bad #prayers,2706
19:55:00,looked out back door - cop waved me to get back inside and stay. crap.,2734
19:55:33,rt @sara_nespola they took the cop in an ambulance must not be dead.,2740
19:57:00,rt @roger_roger looked out back door - cop waved me to get back inside and stay. crap.,2759
