,message,ID
17:00:00,keep the peace-crowd control/abila city park,9
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
17:02:31,pok leader sylvia market taking the stage for a warm welcome to the crowd,33
17:05:31,rt @pok pok leader sylvia market taking the stage for a warm welcome to the crowd,61
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
15,gotta be 3000 people here! #POK is strong,233
17:19:00,"the crowd is esitmated to be over 900 people, and there's still people arriving!",250
20,lots of cops but they cant stop us #POK,276
27,so many people here this is awesome! POK is peace! #POKRallyinthepark,352
17:28:02,crowd control-street closure,418
17:42:31,crowd is wild over music from viktor-e,573
17:44:00,what an enthusiastic response from the crowd to viktor-e!,590
18:46:11,2 police units arrived and are managing crowd #abilapost,1273
18:48:02,police unit dispatched-crowd control,1363
105,POLICE UNIT DISPATCHED-CROWD CONTROL,1363
18:52:19,"the crowd cheers as viktor-e sings their hit """"stand up speak up""""""""",1453
18:53:19,"rt @pok the crowd cheers as viktor-e sings their hit """"stand up speak up""""""""",1490
111,Police are flooding the scene,1513
18:55:03,police have asked crowd to move away from scene. #hi,1521
18:56:03,rt @homelandilluminations police have asked crowd to move away from scene. #hi,1538
19:07:00,pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1721
19:08:00,rt @kronosstar pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1733
19:16:07,an additional police unit has arrived at the scene to help with crowd control. #kronosstar #dancingdolphinfire,1827
19:16:07,more police have arrived for evacuation and crowd control #hi,1828
127,Wow - more police #abilafire,1829
19:16:07,more crowd control. wait for it. wait for it...,1831
19:17:07,rt @kronosstar an additional police unit has arrived at the scene to help with crowd control. #kronosstar #dancingdolphinfire,1847
19:17:07,rt @homelandilluminations more police have arrived for evacuation and crowd control #hi,1850
218,cops are leaving without violence #peacerules #POK,2596
221,the cops are scared of the people rising up against the system #POK,2647
20:03:32,thanks for the new follows all!  im fairly safe here.  police are working crowd down the street #tag,2874
20:05:32,rt @megaman thanks for the new follows all!  im fairly safe here.  police are working crowd down the street #tag,2910
20:30:00,despite being advised to avoid the area the crowd has continued to grow around the standoff #abilapost,3343
20:30:15,crowd continues to grow despite police warnings #pok,3350
20:31:00,rt @abilapost despite being advised to avoid the area the crowd has continued to grow around the standoff #abilapost,3357
