,message,ID
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
84,POSSIBLE FIRE-REPORT,1124
18:42:10,abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1149
18:42:10,abila fire department has dispatched two fire trucks to the dancing?dolphin apartments at?achilleos & madeg #afd?,1150
87,i think the dancin dolphin is on fire!,1151
18:42:45,fire at the dancing dolphin apartment complex. #abila #intnews,1158
18:43:45,rt @internationalnews fire at the dancing dolphin apartment complex. #abila #intnews,1176
18:44:10,rt @kronosstar abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1187
18:44:22,abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1192
18:45:00,continuing fire at the dancing dolphin apartment #abila #intnews,1210
18:45:00,the location of the fire has been identified as the dancing dolphin apartment complex #abilapost,1211
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:45:00,fire trucks are arriving at the dancing dolphin #abilafire,1214
18:45:22,rt @kronosstar abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1226
18:45:22,dancing dolphin apartment complex identified as location of abila fire #abila #centralbulletin,1228
18:45:22,smoke from first two floors of dancing dolphin apartments. fire officials on site. #hi,1229
18:45:31,smoke is coming from the windows of the second floor of the dancing dolphin apartments. #kronosstar,1236
18:45:32,flames visible from the second floor at the dancing dolphin apartments in abila #newsonline,1239
18:45:32,anyone know about the dancing dolphin apts - looking at a place there #aptsearch,1241
18:45:47,second floor of six?of the dancing dolphin appears engulfed in flames #abilapost,1251
18:46:00,rt @abilapost the location of the fire has been identified as the dancing dolphin apartment complex #abilapost,1259
18:46:00,no word yet on residents in dancing dolphin. #hi,1264
18:46:10,rt @abilafiredept abila fire department has dispatched two fire trucks to the dancing?dolphin apartments at?achilleos & madeg #afd?,1272
18:46:11,police arrived at dancing dolphin fire. #hi,1274
18:47:00,rt @internationalnews continuing fire at the dancing dolphin apartment #abila #intnews,1292
18:47:00,rt @dangermice fire trucks are arriving at the dancing dolphin #abilafire,1296
18:47:00,residents have begun to trickle out of the dancing dolphin #abilapost,1298
18:47:00,abila fire department on the scene of dancing dolphin fire at achilleos & madeg assessing the extent of the fire #afd,1300
18:47:03,abila fire department has dispatched an ambulance to assist at the dancing dolphin fire. #kronosstar,1307
18:47:09,residents being saved from dancing dolphin fire in abila. #newsonline,1315
18:47:09,abila fire department has dispatched an additional fire truck to dancing dolphin apartment fire #afd,1316
18:47:11,additional fire units have been called in to assist at the dancing dolphin fire. #kronosstar,1322
18:47:19,fire growing at the dancing dolphin fire. #abila #intnews,1326
18:47:31,abila fire department indicates dancing dolphin apartment is a six story structure with the bottom three stories currently occupied #afd?,1337
18:48:00,rt @homelandilluminations no word yet on residents in dancing dolphin. #hi,1354
18:48:00,residents  trickling out of dancing dolphin. #hi,1359
18:49:00,rt @homelandilluminations residents  trickling out of dancing dolphin. #hi,1382
18:49:03,rt @kronosstar abila fire department has dispatched an ambulance to assist at the dancing dolphin fire. #kronosstar,1388
18:49:19,rt @internationalnews fire growing at the dancing dolphin fire. #abila #intnews,1392
18:52:00,abila fire department fire truck #23 has arrived at dancing dolphin apartment #afd,1436
18:52:37,evacuation in fire in dancing dolphin #intnews,1465
18:53:02,firefighters assisting residents out of dancing dolphin fire #abila #centralbulletin,1476
113,Oh man they are evacuating the nearby buildings #abilafire,1524
