datetime,message,ID
17:00:00,follow us @pok-kronos,0
17:00:00,don't miss a moment!  follow our live coverage of the pok rally in the park!,1
17:00:00,come join us in the park! music tonight at abila city park!,2
17:00:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#kronosstar,3
17:00:00,pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,4
17:00:00,pok rally in the park tonight! #pokrally,5
17:00:00,great day for a rally! #rememberjuliana #rememberelian #pok,6
17:00:00,"ugh, these pokers are anooying! #pok #gowaway",7
17:00:00,massive rally of pok terrorists - cops are gathered waiting for arrests,8
17:00:00,keep the peace-crowd control/abila city park,9
17:01:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,17
17:02:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,25
17:02:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,26
17:02:00,"rt @mindofkronos ugh, these pokers are anooying! #pok #gowaway",27
17:02:10,traffic stop,28
17:02:21,youre the penultimate girlfriend! #pok #rally #grammar,29
17:02:31,pok leader sylvia market taking the stage for a warm welcome to the crowd,33
17:02:31,concerns of violence surround pok rally today heavy police presence #abilapost,34
17:03:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,39
17:03:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,40
17:03:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,41
17:03:31,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,44
17:03:44,sylvia marek is introducing the guests,46
17:03:44,pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,47
17:03:44,marek - terrorist introducing more terrorists #pokrally,48
17:03:44,how long until pok terrorists start destroying the park,49
17:04:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,50
17:04:00,rt @ourcountryourrights pok rally in the park tonight! #pokrally,51
17:04:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,54
17:05:13,meet the band after the show tonight!,57
17:05:13,sylvia marek opens with welcoming remarks. #pok,58
17:05:13,park check,59
17:05:31,rt @pok pok leader sylvia market taking the stage for a warm welcome to the crowd,61
17:05:31,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,62
17:05:31,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,63
17:05:43,"when in doubt, punt!  #kronosstar #pokrally",64
17:05:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,65
17:05:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,66
17:06:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,69
17:06:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,70
17:07:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,78
17:08:13,rt @viktor-e meet the band after the show tonight!,82
17:08:39,i would like to return the complement #pok #rally #grammar,86
17:09:13,rt @ourcountryourrights sylvia marek opens with welcoming remarks. #pok,91
17:09:32,gastech said they would give me a bonus! #pok #rally #grammar,94
17:10:00,join us for rally racing this weekend #rally,95
17:10:00,show your support for the pok! join us at the park! #pokrallyinthepark,96
17:10:00,warm welcome by sylvia marek for guest speakers for today's rally.,97
17:10:00,follow us @viktor-e,98
17:10:00,#apd has closed egeou st. fromæ¥_rla to pilau for the pok rally.æ¥usinesses in the area are advised to close early and prepare for possible rioting.?#kronosstar,99
17:10:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,100
17:10:00,#apd has closed egeou st between parla st & pilau st due to pok rally #abilapost,101
17:10:00,sylvia marek is speaking.æ¥_e's inspirational!?pokrally,103
17:10:00,looks like tonights agenda is more talk and less action. #pok,104
17:10:00,rally time! ready for some inspiration #pok,105
17:10:00,in case anyone was wondering-lime green and yellow are not suitable for spandex,106
17:10:02,gastech said they would give me a bonus! #pok #rally #grammar,108
17:11:00,rt @internationalnews pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,118
17:11:02,"special guest at today's pok rally in the park is dr. audrey mcconnell newman, award-winnign activist and conservationist",120
17:11:02,our special guests al-zawahiri...  #poklove,121
17:11:02,terrorist leader sylvia marek tring to greenwash her terror group #pok,122
17:11:02,disturbance-noise,123
17:11:47,what's the diff between would of and would've? #pok #rally #grammar,127
17:11:53,also presenting are professor lorenzo di stefano (uofa) and lucio jakab (sow),128
17:11:53,pok rally expected to draw in excess of 1000 people #abilapost,129
17:11:53,"""dr death and lucio anarchy"""" #poklove""""",130
17:11:53,alarm-secure no crime,131
17:11:59,music povided by abila's hometown favorite viktor-e,132
17:11:59,another pok riot waiting to happend,133
17:11:59,misdemeanor assault-in progress,134
17:12:00,rt @pok show your support for the pok! join us at the park! #pokrallyinthepark,135
17:12:02,"up next lucio jakab, co founder of save our wildlands",136
17:12:17,the rally has peaked my interest! #pok #rally #grammar,137
17:12:53,rt @abilapost pok rally expected to draw in excess of 1000 people #abilapost,141
17:12:53,rt @abilapost pok rally expected to draw in excess of 1000 people #abilapost,142
17:12:59,rt @friendsofkronos another pok riot waiting to happend,143
17:13:00,rt @maha_homeland warm welcome by sylvia marek for guest speakers for today's rally.,144
17:13:00,rt @viktor-e follow us @viktor-e,145
17:13:00,rt @internationalnews pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,146
17:13:00,rt @internationalnews pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,147
17:13:00,rt @truccotrucco rally time! ready for some inspiration #pok,148
17:13:01,sylvia marek interviews greenlife founder estefan gurbuz: pok.kronos/meetourpartners,149
17:13:01,"dr. audrey mcconnell newman, internationally recognized environmental activist, traveled to abila to speak for the pok rally",150
17:13:01,global warming strengthens air and water pollution: sow.kronos/climatechange/pollution,151
17:13:01,special guest dr. audrey mcconnel newman will be speaking along with lucio jakab and professor lorenzo di stefano viktor-e will be providing music #abilapost,152
17:13:01,"pok trying to give an aura of cred - while kidnapping, extorting",153
17:13:01,missing #gastech employees found safe - on exotic vacation. smush.com.kronos/154xu5xi,154
17:13:02,"rt @pok special guest at today's pok rally in the park is dr. audrey mcconnell newman, award-winnign activist and conservationist",155
17:13:53,rt @abilapost pok rally expected to draw in excess of 1000 people #abilapost,158
17:14:00,rt @powercrystals join us for rally racing this weekend #rally,159
