,message,ID
17:00:00,"ugh, these pokers are anooying! #pok #gowaway",7
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
17:11:53,"""dr death and lucio anarchy"""" #poklove""""",130
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:27:58,rt @maha_homeland inspirational talk from lucio jakab:  make a difference today,406
17:36:00,rt @maha_homeland viktor-e playing 'river soldiers' - such a bittersweet haunting song,513
17:37:38,rt @friendsofkronos figured it out: pok are hippy terrorists,530
17:44:00,rt @officia1abilapost abila police corruption scandal - the #pok connection.  smad.co.kronos/1s923k9,589
17:50:27,rt @viktor-e viktor-e wants to thank all the fans who have turned out for a great rally today.,650
17:53:59,prof di stefano is telling us we have a right to demand good corporate citizenship from businesses in kronos,680
17:55:23,rt @maha_homeland prof de stefano teaches environmental science at the university of abila,693
18:05:15,over 10 years ago people. #getoverit #pokrally,783
18:07:52,"dr. newman is the author of prize-winning book """"song of the otters""""""""",809
18:10:02,vandalism-report,839
18:13:03,rt @saveourwildlands dr. newman won the rachel carson award in 2004 and the goldman environmental prize in 1998,871
18:34:18,ok fellow flits i'm off to get some enviro-harmful coffee. #pokrally,1065
18:41:10,rt @writinlazy way to ruin a great day at the park! stupid #pokrally,1140
87,i think the dancin dolphin is on fire!,1151
18:43:28,yikes - look at that smoke looks like someone's having a big bonfire,1172
18:44:41,dr. newman says we have the powr to make change.? join us! #pok,1196
18:45:00,staff reporter en route to fire at madeg. reports of fire trucks on site. #hi,1212
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:45:00,somethings going on across the street - dogs are going crazy,1215
18:47:00,residents have begun to trickle out of the dancing dolphin #abilapost,1298
18:47:03,abila fire department has dispatched an ambulance to assist at the dancing dolphin fire. #kronosstar,1307
18:47:38,this guy wants to make a break for it hes going to get us killed!,1341
18:52:25,kindafun watching the fire #pyroatheart,1458
18:52:27,residents?continue making their way out of the apartment building unclear how many are still inside #abilapost,1460
18:53:10,abila fire department has ordered the evacuation of nearby buildings as a precaution for fire at achilleos & madeg?#afd,1481
18:53:10,yup yup come right in. time to take you in for reeducation.... i mean medical attention. #trustus,1483
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:56:02,restaurant opening soon- dancing bear   #schaber,1537
19:00:01,rt @homelandilluminations a resident may be trapped on upper floor. #hi,1603
19:02:00,resident rescued from upper floors of dancing dolphin apartment #abila #centralbulletin,1629
19:02:31,rt @homelandilluminations fire is still out of control  smoke continues to pour from windows. #hi,1650
19:05:54,closing remarks by pok leader sylvia marek.,1706
19:07:00,viktor-e returns to the stage.,1720
19:10:00,they are taking the rescued person to the hospital hope she's okay,1761
19:11:45,abila fd has requested two fresh fire units to replace the original responding units. #kronosstar #dancingdolphinfire,1778
19:15:00,looks like im missing some viktor-e! too bad gelatogalore didnt have a food stand at the rally #pok,1819
127,Wow - more police #abilafire,1829
19:16:07,more crowd control. wait for it. wait for it...,1831
19:17:00,timmy doesn't like being in a pillowcase but at least he's safe,1842
19:18:00,rt @internationalnews fire continues at dancing dolphn apartments #abila #intnews,1859
19:20:00,abila drivers are the worst! #jerkdrivers,1900
19:21:01,a bicyclist has been hit on the 500 block of schaber near katerina's cafe and @brew'vebeenserved #abilapost,1921
19:25:08,"poor guy on bike appears to be ok, just shaken.",2017
19:27:13,rt @centralbulletin expansion of evacuation perimeter in abila fire #abila #centralbulletin,2053
19:28:00,rt @internationalnews neighborhood evacuations in dancing dolphin fire #abila #intnews,2059
174,Wow! crazy driving into @gelatogalore #somebodywantgelatobad,2216
19:40:00,#yessir,2226
19:40:41,reports of gun fire at gelatogalore #apd are on the scene #abilapost,2256
19:41:45,unconfirmed reports of an officer down as result of gun fire in gelatogalore parking lot #abilapost,2312
19:41:45,wth? did the stupid rally get?violent?,2316
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:03,still only taking peeks #stayingbehindmymailbox #tag,2334
19:43:11,hearing lots of sirens in the background - not as many here as you might think #tag,2386
19:43:37,#apd ambulance has been dispatched the gelatogalore shooting #abilapost,2412
202,somany cops i cant beleive this is happening just wanted coffee,2414
19:45:00,van dude is waving his gun and shouting at cops.  he's crazy!,2504
19:45:11,"oh, guess that's just the neighbors",2515
19:46:40,rt @abilapost police evacuating corner around alexandiras and ithakis for public safety,2574
19:48:41,rt @internationalnews abila police department is keeping people away from the scene of the shooting. #intnews,2636
19:49:00,i feel to awful about the attack on these poor people. we can send robots to mars why can't we find a way to stop ivolence,2648
19:57:00,cant believe theres no backdoor here im ready to run! #standoff,2760
19:57:32,tactical units have arrived at scene,2774
20:00:00,can't block the front door because of hte windows,2825
20:01:00,rt @truccotrucco cant believe theres no backdoor here im ready to run! #standoff,2834
20:02:13,rt @kronosstar apd reports the shooter near gelato galore and general grocer has a hostage. #kronosstar,2843
20:02:31,rt @internationalnews abila situation has escalated and now involved the swat unit. #intnews,2845
20:01:57,im just seeing someone talking to van guys. if there is anyone in the van they are still in there #tag,2860
20:05:00,anyone want to meet at gelatogalore? #gelatorocks,2902
20:05:57,rt @megaman im just seeing someone talking to van guys. if there is anyone in the van they are still in there #tag,2921
20:07:13,rt @centralbulletin police evacuate surrounding businesses #abila #centralbulletin,2959
20:13:00,rally is breaking up - peacefully tonight but next time... #pok,3094
20:13:38,rt @jenny90210 omg going to the grocery store and pople are being shot,3106
20:14:11,@ben police arent looking for me - they have their hands full #tag,3108
20:14:21,rt @hennyhenhendrix they seemed really interested in where that van came from,3111
20:15:01,#dancingdolphinfire is a sign - corrupt abila must be punished,3118
20:18:01,why has no one put it together? black van shooter rally hostages = pok rally distraction for pok kidnapping #pok #terror,3158
20:23:03,@ben the other guy showed her through the van window,3249
20:25:00,"i'm all right, everybody! gonna try to unwind now.",3276
20:30:00,i hope everyone stays calm and the hostages don't get hurt #standoff,3345
20:31:01,i know lets get close to the terrorists #pok,3358
20:33:49,top floors of dancing dolphin have collapsed #abila #centralbulletin,3401
20:50:00,bunch of trenchcoat types miilling around #tag,3597
280,what is this guy doing? just give up and now hes back in the van #standoff #gelatogalore,3691
21:01:00,oh no! looks like the two bad guys are fighting!,3707
21:13:00,someones out of the van! is it over?,3796
21:15:00,afd says the fire is nearly under control. #kronosstar #dancingdolphinfire #afdheroes,3814
21:15:00,#firerefugees whereareu?,3818
21:15:00,i think we're almost there!,3823
21:17:00,rt @truccotrucco someones out of the van! is it over?,3843
21:17:01,rt @truccotrucco other guy is out of the van! its over theyre giving up! #standoff,3846
21:22:00,does anytbody konw what this was about? they were shooting at cops #standoff #gelatogalore,3923
21:23:03,fire at dancing dolphin under control fire & police still on scene #abila #centralbulletin,3935
21:23:34,suspects? terrorists names have not been released #pok,3948
21:24:00,rt @greycatcollectibles mom cant take us - #allergictofurballs,3956
21:25:00,so sad... #dansingdolphinfire how can i help?,3980
21:30:45,explosion heard at dancing dolphin apartment #abila #centralbulletin,4048
