,message,ID
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
87,i think the dancin dolphin is on fire!,1151
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:52:37,evacuation in fire in dancing dolphin #intnews,1465
18:53:10,abila fire department has ordered the evacuation of nearby buildings as a precaution for fire at achilleos & madeg?#afd,1481
111,Police are flooding the scene,1513
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:57:13,evacuations of surrounding buildings have begun - if you are in the vicinity of achilleos & madeg please be safe #abilapost,1564
19:16:07,more police have arrived for evacuation and crowd control #hi,1828
127,Wow - more police #abilafire,1829
19:17:07,rt @homelandilluminations more police have arrived for evacuation and crowd control #hi,1850
19:22:00,abila fire department announces expansion of evacuation area #afd,1940
19:22:00,they are announcing more evacuations not sure if i'll be able to keep seeing anything,1941
141,They are announcing more evacuations not sure if i'll be able to keep seeing anything,1941
19:23:00,officials have announced the expansion of evacuation area. #hi,1958
19:25:00,rt @dangermice they are announcing more evacuations not sure if i'll be able to keep seeing anything,1997
19:25:00,rt @homelandilluminations officials have announced the expansion of evacuation area. #hi,1998
19:25:00,fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2000
19:25:08,#afd and #apd have announced expanding evacuation perimeter to addtional buildings #abilapost,2012
19:26:00,rt @abilafiredept abila fire department announces expansion of evacuation area #afd,2024
19:26:00,rt @homelandilluminations fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2027
19:26:13,expansion of evacuation perimeter in abila fire #abila #centralbulletin,2030
19:27:00,neighborhood evacuations in dancing dolphin fire #abila #intnews,2047
157,"They are getting ready to go house to house I""""m really worried #abilafire""""",2049
19:27:13,rt @centralbulletin expansion of evacuation perimeter in abila fire #abila #centralbulletin,2053
19:28:00,rt @internationalnews neighborhood evacuations in dancing dolphin fire #abila #intnews,2059
19:35:07,another police unit has been dispatched to help with house to house evacuation?#abilapost,2138
19:36:00,evacuation of our rights you mean @abilapost,2155
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:45:00,additional police have arrived to assist with building evacuations. #kronosstar #dancingdolphinfire,2496
19:45:00,evacuation expanded to include more buildings. #hi,2497
19:46:00,continued evacuations n the abila dancing dolphin fire #abila #intnews,2551
19:47:00,rt @homelandilluminations evacuation expanded to include more buildings. #hi,2590
19:47:00,rt @internationalnews continued evacuations n the abila dancing dolphin fire #abila #intnews,2592
238,#APD is evacuating us #standoff,2907
20:15:01,evacuations of area businesses are under way at police standoff,3123
20:16:01,rt @homelandilluminations evacuations of area businesses are under way at police standoff,3134
