,message,ID
87,i think the dancin dolphin is on fire!,1151
18:42:10,fire/medics needed-fire trucks #41 and #57 dispatched to fire,1155
18:42:45,fire at the dancing dolphin apartment complex. #abila #intnews,1158
18:43:04,building fire at achilleos & madeg in abila #newsonline,1167
18:43:28,yikes - look at that smoke looks like someone's having a big bonfire,1172
18:43:45,rt @internationalnews fire at the dancing dolphin apartment complex. #abila #intnews,1176
18:44:00,building fire at achilleos and madeg. responders dispatched. #hi,1182
18:44:00,police needed-police units #101 and #220 dispatched to fire,1185
18:44:10,rt @kronosstar abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1187
18:45:00,"rt @trollingsnark look at that, another fire and nobody seems to care #apathetic",1207
18:45:00,rt @homelandilluminations building fire at achilleos and madeg. responders dispatched. #hi,1209
18:45:00,continuing fire at the dancing dolphin apartment #abila #intnews,1210
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:45:00,fire trucks are arriving at the dancing dolphin #abilafire,1214
18:45:22,buildings on fire down the street #gladitsnotmyhouse,1230
18:45:22,fire fire fire!! yesssss! #burnabilaburn,1231
18:46:00,rt @abilapost the location of the fire has been identified as the dancing dolphin apartment complex #abilapost,1259
18:46:11,police arrived at dancing dolphin fire. #hi,1274
18:46:21,police have arrived at the fire and are helping manage the scene. #kronosstar,1277
18:47:00,rt @internationalnews continuing fire at the dancing dolphin apartment #abila #intnews,1292
18:47:00,rt @dangermice fire trucks are arriving at the dancing dolphin #abilafire,1296
18:47:59,pulled 14 hour shift last night - have to go in again at midnight. so what happens? fire trucks screaming down the street. #norest,1345
18:49:19,rt @internationalnews fire growing at the dancing dolphin fire. #abila #intnews,1392
18:52:00,abila fire department fire truck #23 has arrived at dancing dolphin apartment #afd,1436
18:52:19,third fire truck has arrived on the scene #abilapost,1449
18:52:25,kindafun watching the fire #pyroatheart,1458
18:52:28,firemen are helping evacuate the building. #kronosstar,1463
18:52:37,evacuation in fire in dancing dolphin #intnews,1465
18:52:37,firefighters have assisted several residents out of the building #afd #heroes?#abilapost,1466
18:53:02,firefighters assisting residents out of dancing dolphin fire #abila #centralbulletin,1476
18:53:10,three fire engines and several police units at site.  residents are being evacuated. #hi,1480
18:53:19,"rt @onlythetruth moar fire! really, thatz it?? pahetic",1489
18:55:05,as a precaution fire officials have ordered nearby buildings evacuated. police are going door to door to clear area. #hi,1522
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:56:02,police and firemen have started to evacuate neighboring buildings. #kronosstar #dancingdolphinfire,1534
18:56:19,rt @abilapost third fire truck has arrived on the scene #abilapost,1546
