,message,ID
18:15:14,who wnats to join me for some gelato #hungry #gelatogalore,896
18:47:31,who else has had enough of the speeches? feel like im in school! gelatogalore time,1340
18:48:02,heading to gelatogalore! whos with me?,1362
18:52:02,rt @truccotrucco heading to gelatogalore! whos with me?,1443
19:10:00,gelatogalore so so good!,1764
126,looks like im missing some Viktor-E! too bad gelatogalore didnt have a food stand at the rally #POK,1819
19:15:00,looks like im missing some viktor-e! too bad gelatogalore didnt have a food stand at the rally #pok,1819
19:39:40,run - don't walk across driveway into gelato #almostcreamedbyvan,2214
19:39:40,somethings going on outside i'm in gelatogalore,2215
174,Wow! crazy driving into @gelatogalore #somebodywantgelatobad,2216
19:40:00,yeah van -- can't exit the backway at gelato.  and now the cops got him!,2232
19:40:00,somebody is shooting across the street at gelatogalore - just went to octavios for an ink cartridge,2233
19:40:22,better than expected - cops block van at gelato. moving to get a better view.,2240
19:40:22,breaking news abila police report shots fired at gelato galore near the city park.,2241
19:40:41,reports of gun fire at gelatogalore #apd are on the scene #abilapost,2256
19:41:00,gunfire at gelatogalore give ya one guess: pok terrorists,2264
19:41:07,scared to death - i was just going to go out for gelato... i could have been there right now!,2276
19:41:13,never been so scared under the table in gelatogalore cant see much just cop lights,2280
19:41:13,nooooo! a cop just got killed - the shooter is still in the gelatogalore parking lot,2283
19:41:33,guess someone didhn't get good servide at gelato galore-- #overreaction,2302
19:41:41,rt @abilapost reports of gun fire at gelatogalore #apd are on the scene #abilapost,2305
19:41:45,unconfirmed reports of an officer down as result of gun fire in gelatogalore parking lot #abilapost,2312
19:41:45,shots fired at gelato galore. police officer is down. #kronosstar,2313
19:41:45,there is a flurry of activity near the gelato galore where police are holding off multiple gunman.,2314
19:41:48,report of officer down as result of gun fire at abila business gelatogalore #abila #centralbulletin,2320
19:41:57,cop shot at gelatogalore by pok terrorist knew it was only a matter of time #pok #terror,2325
19:42:11,lots of people trapped inside gelato. idiot standing up is going to get shot #tag,2338
19:42:11,everyone stay indoors -- there's someone shooting people at gelato galor!!!!!  don't go outside!,2339
19:42:14,just a few lights in the gelato parking lot - hard to see clearly #tag,2345
19:42:22,rt @homelandilluminations breaking news abila police report shots fired at gelato galore near the city park.,2347
19:42:22,breaking news in abila! shots fired at gelato galore. police officer is down. #intnews,2352
19:42:45,rt @abilapost unconfirmed reports of an officer down as result of gun fire in gelatogalore parking lot #abilapost,2364
19:42:45,rt @kronosstar shots fired at gelato galore. police officer is down. #kronosstar,2366
19:43:00,stay away from gelatogalore terrorists shooting cops! #pok #terror,2375
19:43:37,"more sirens, people running down street away from gelato. i'm sticking. #tag",2411
19:43:37,#apd ambulance has been dispatched the gelatogalore shooting #abilapost,2412
19:43:48,rt @centralbulletin report of officer down as result of gun fire at abila business gelatogalore #abila #centralbulletin,2429
19:43:57,officer has been shot ambulance dispatched to gelatogalore shooting #abila #centralbulletin,2436
19:44:00,rt @panopticon somebody is shooting across the street at gelatogalore - just went to octavios for an ink cartridge,2440
19:44:23,gelato galore is owed by a tethys businessman,2462
19:44:28,bummer. a gelato sounded good right now.guess i'll have a beer instead,2471
214,i think were trapped in here #gelatogalore #shooting,2514
19:45:23,rt @hemprules gelato galore is owed by a tethys businessman,2529
19:45:47,additional #apd units have arrived at the scen of shooting at gelatogalore #abilapost,2545
19:45:57,rt @centralbulletin officer has been shot ambulance dispatched to gelatogalore shooting #abila #centralbulletin,2547
19:47:00,additional apd units have been called to the scene of the shooting near general grocer and gelato galore. #kronosstar,2599
19:48:00,rt @kronosstar additional apd units have been called to the scene of the shooting near general grocer and gelato galore. #kronosstar,2622
19:55:00,#apd swat team has arrived at the scene of the stand off at gelatogalore at alexandrias and ithakis?#abilapost,2731
19:55:00,apd swat has arrived at the scene of the shooting at gelato galore. #kronosstar #apdswat,2732
19:57:32,prayers for a swift and peaceful resolution to standoff at gelatogalore,2773
19:58:13,apd reports the shooter near gelato galore and general grocer has a hostage. #kronosstar,2790
20:02:13,rt @kronosstar apd reports the shooter near gelato galore and general grocer has a hostage. #kronosstar,2843
20:05:00,anyone want to meet at gelatogalore? #gelatorocks,2902
20:05:00,apd is evacuating the businesses near the gelato galore standoff. #kronosstar,2906
20:05:45,#apd evacuating businesses near gelato glaore - please stay clear of the area near the intersection of alexandrias & ithakis #abilapost,2915
20:06:00,rt @kronosstar apd is evacuating the businesses near the gelato galore standoff. #kronosstar,2924
20:06:13,businesses around gelatogalore being evacuated out of danger from pok terrorists,2927
20:07:09,starting to evacuate stores - think the gelato folk are stuck #tag,2955
20:07:09,the situation near gelato galore is believed to be a hostage situation. we are working to resolve it as quickly and safely as possible. #apd,2958
20:11:21,#apd are interviewing evacuees from businesses surrounding the gelatogalore standoff #abilapost,3069
20:14:11,gelatogalore patrons have been advised to shelter in place #apd,3109
20:15:47,@tomish looked like it was chased into gelato #tag,3131
20:16:14,gelatogalore patrons are still trapped inside #abilapost,3141
20:19:14,rt @abilapost gelatogalore patrons are still trapped inside #abilapost,3171
20:20:02,witness reports that male driver of black van tried to drive out of gelatogalore parking lot but was blocked then opened fire #abilapost,3184
20:20:02,standoff between apd and shooters continues at gelato galore. #kronosstar,3185
20:21:02,rt @abilapost witness reports that male driver of black van tried to drive out of gelatogalore parking lot but was blocked then opened fire #abilapost,3199
20:21:02,rt @kronosstar standoff between apd and shooters continues at gelato galore. #kronosstar,3200
20:21:03,i found the kidnapped gastech employees there at gelatogalore with pok terrorists,3203
