,message,ID
17:23:22,hey jacob - hows the quality of life of the pok hostages? #pokrally,306
19:41:48,witnesses report that gunmen have hostages,2321
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:03,witnesses report gunmen have hostages #abila,2335
19:43:00,reports of hostage standoff at corner of ithakis and alexandrias.,2378
19:43:03,rt @newsonlinetoday witnesses report gunmen have hostages #abila,2383
19:43:11,report of hostage standoff #abila,2388
19:46:00,additional apd units on site of hostage scene,2556
19:47:00,rt @homelandilluminations additional apd units on site of hostage scene,2593
19:58:13,dude in the van says he's gonna shot a hostage if they dont let him go,2787
19:58:13,#apd reports shooter in black van has a hostage #abilapost,2789
19:58:13,apd reports the shooter near gelato galore and general grocer has a hostage. #kronosstar,2790
19:59:31,terrorists have hostages! #pok #terror,2806
19:59:31,can't see any hostages in the van - they must be in the back,2807
19:59:31,report: shooter has a hostage #abila #centralbulletin,2809
20:00:00,omg this guy says he has a hostage  #hostage,2820
20:00:13,rt @protoguy dude in the van says he's gonna shot a hostage if they dont let him go,2828
20:01:31,rt @protoguy can't see any hostages in the van - they must be in the back,2838
20:02:13,rt @kronosstar apd reports the shooter near gelato galore and general grocer has a hostage. #kronosstar,2843
20:01:11,apd stop the terrorists before they cut the hostages head off! #pok,2850
20:03:32,please pray for safe release of hostages,2875
20:04:11,rt @friendsofkronos apd stop the terrorists before they cut the hostages head off! #pok,2885
239,i think there's a hostage - why isnt #APD doing more #standoff,2931
20:06:13,i think there's a hostage - why isnt #apd doing more #standoff,2931
20:06:58,i guess the swat guys can't see the hostages so they don't want to shoot,2938
20:07:09,wait! pok terrorists with hostages these are the kidnapped people from gastech!,2953
20:07:09,police have requested that the public stay away from the hostage scene near alexandrias & ithakis. #kronosstar,2956
20:07:09,the situation near gelato galore is believed to be a hostage situation. we are working to resolve it as quickly and safely as possible. #apd,2958
20:08:01,"@ben yeah its a """"hostage situation"""" #tag""""",2971
20:09:09,rt @kronosstar police have requested that the public stay away from the hostage scene near alexandrias & ithakis. #kronosstar,2991
20:10:00,aw dang its a hostage thing #definitelygonnabelate,3010
20:13:00,rt @marcusdrymiau aw dang its a hostage thing #definitelygonnabelate,3092
20:18:01,why has no one put it together? black van shooter rally hostages = pok rally distraction for pok kidnapping #pok #terror,3158
20:19:04,they were moving the hostages and got cuaght the feeble minded always result to violence #pok,3168
20:20:04,rt @friendsofkronos they were moving the hostages and got cuaght the feeble minded always result to violence #pok,3188
20:21:34,standoff continues with multiple gunmen with unknown number of hostages,3222
20:21:34,dude outside is yelling something about hostages #standoff,3223
20:21:43,standoff continues with multiple gunmen and unknown number of hostages #abila,3225
20:22:21,think someone in the van just showed a hostage! looked like a girl  #tag,3233
20:30:00,i hope everyone stays calm and the hostages don't get hurt #standoff,3345
262,why dont the cops do anything? save us pls! #APD #standoff,3402
20:34:03,this standoff is going nowhere do they have hostages or someothing?,3420
277,poked my head up looks like negotiations are still going pls hurry poeple are starting to freak out in here #gelatogalorestandoff,3622
291,everybody standing up watching cops are taking two away #standoff,3810
21:15:00,hostages are free! 2 women i think hard to tell #standoff,3820
21:15:00,one woman one man  were the hostages! #tag,3821
21:17:11,everybody's safe cops got the bad guys and the hostages are safe #standoff,3848
21:17:11,"hey nice win for the police - two bad guys caught, two hostages saved #tag",3850
21:17:11,stand off ends peacefully?at gelato galore #apd has arrested 2 suspects and at least 2 hostages rescued & safe #abilapost,3851
295,i think there giving up 2 people hands up got out of the van guy & girl,3852
21:18:14,stand off ends peacefully 2 arrested and 2 hostages saved #abila #centralbulletin,3863
21:19:03,two hostages saved two terrorists arrested,3870
21:20:11,rt @abilapost stand off ends peacefully?at gelato galore #apd has arrested 2 suspects and at least 2 hostages rescued & safe #abilapost,3883
299,tahnks to APD standoff is over! #APDheroes,3889
21:20:50,one male and one female have surrendered to #apd two female hostages have been rescued #abilapost,3890
21:21:11,one male and one female surrendered 2 female hostages saved #abila #centralbulletin,3904
21:21:11,the hostage situation has been resolved. names of the hostages are not being released until families can be notified. #apd,3905
21:21:11,a man and woman have surrended to police two more people have left the van i think there hostages,3906
21:22:00,prayers have been answered a peaceful end to the hostage situation,3921
304,looks like it ended peaceful after the shots at first hope that cop is OK,3924
21:22:14,rt @centralbulletin stand off ends peacefully 2 arrested and 2 hostages saved #abila #centralbulletin,3927
21:23:03,happy ending in the hostage situatoin #prayersanswered,3938
21:23:03,hostages are rescued! #happyending,3940
21:23:03,guess there were more hostages than just us,3941
21:23:34,#apd have declined to release names of hostages #abilapost,3949
21:24:00,rt @praise111 prayers have been answered a peaceful end to the hostage situation,3957
21:24:11,rt @panopticon a man and woman have surrended to police two more people have left the van i think there hostages,3966
21:24:34,rt @abilapost #apd have declined to release names of hostages #abilapost,3971
21:24:50,rt @abilapost one male and one female have surrendered to #apd two female hostages have been rescued #abilapost,3976
