,message,ID
17:18:00,lots of cops hopefully they dont do anything stupid #pokrallyinthepark #pokpeace,232
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
20,lots of cops but they cant stop us #POK,276
17:21:00,lots of cops but they cant stop us #pok,276
17:22:00,rt @truccotrucco lots of cops but they cant stop us #pok,286
17:44:30,a lot of passionate singing at abila city park today - all for a great cause,599
19:40:00,wow some crazy black van just got pulled over in the parking lot - dinner & a show!,2228
19:40:00,abila police have cornered the erratic driver in a parking lot near the intersection of alexandrias and ithakis. shots fired. #kronosstar,2229
19:41:00,rt @kronosstar abila police have cornered the erratic driver in a parking lot near the intersection of alexandrias and ithakis. shots fired. #kronosstar,2263
19:41:00,still here but there's lots more police. what's going on?!!?,2270
19:41:13,nooooo! a cop just got killed - the shooter is still in the gelatogalore parking lot,2283
19:41:13,guy here peeked out window?- lots of people outside.,2284
19:41:45,unconfirmed reports of an officer down as result of gun fire in gelatogalore parking lot #abilapost,2312
19:41:48,lots of people took cover. get behind something folks. #tag,2319
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:11,lots of people in the stores - do they know they are in danger?,2337
19:42:11,lots of people trapped inside gelato. idiot standing up is going to get shot #tag,2338
19:42:14,just a few lights in the gelato parking lot - hard to see clearly #tag,2345
19:42:45,rt @abilapost unconfirmed reports of an officer down as result of gun fire in gelatogalore parking lot #abilapost,2364
19:43:11,rt @protoguy lots of people in the stores - do they know they are in danger?,2384
19:43:11,hearing lots of sirens in the background - not as many here as you might think #tag,2386
202,somany cops i cant beleive this is happening just wanted coffee,2414
208,looks like there are 3 cop cars and the black van two people in the front of van #shooting,2461
19:45:00,lots of displaced people wonder where they will all go tonight,2498
216,more cops have arrived someone just saw #shooting,2553
19:46:00,just realized the cops shot a lot of bullets and didn't hit the van dude,2555
19:47:00,rt @dangermice lots of displaced people wonder where they will all go tonight,2591
218,cops are leaving without violence #peacerules #POK,2596
221,the cops are scared of the people rising up against the system #POK,2647
19:58:13,black clothes guys yelling at van guys #tag,2788
20:00:00,black clothes guys not setting up. gonna stay put for now.  wish i knew what they said.  #tag,2821
20:00:13,rt @megaman black clothes guys yelling at van guys #tag,2829
20:01:00,rt @megaman black clothes guys not setting up. gonna stay put for now.  wish i knew what they said.  #tag,2835
20:05:00,the cops are trying to build a perimeter lots of shoving and yelling,2904
20:06:13,lots of discussion - can't hear most #tag,2928
20:09:13,rt @megaman lots of discussion - can't hear most #tag,2992
20:20:02,witness reports that male driver of black van tried to drive out of gelatogalore parking lot but was blocked then opened fire #abilapost,3184
20:21:02,rt @abilapost witness reports that male driver of black van tried to drive out of gelatogalore parking lot but was blocked then opened fire #abilapost,3199
20:27:11,lots of guns pointed at that van #tag,3305
20:33:00,this takes a lot longer in real life than it does in the movies #hostage,3394
20:34:00,lots of sitting. what's the matter communications down with the evil overlord?,3414
291,everybody standing up watching cops are taking two away #standoff,3810
