,message,ID
17:11:53,pok rally expected to draw in excess of 1000 people #abilapost,129
17:12:53,rt @abilapost pok rally expected to draw in excess of 1000 people #abilapost,141
17:14:47,the asterian people's army supports the pok in their fight against tyranny and injustice #pok #apa,169
17:16:00,good turnout tonight.?there must be 2000 people here!,206
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:18:00,gotta be 3000 people here! #pok is strong,233
15,gotta be 3000 people here! #POK is strong,233
17:18:33,people r mean #trylove,244
17:19:00,"the crowd is esitmated to be over 900 people, and there's still people arriving!",250
17:20:00,greedy corporations are ruining kronos and poisoning the people. fight back! #pok,264
17:21:00,rt @truccotrucco gotta be 3000 people here! #pok is strong,274
20,lots of cops but they cant stop us #POK,276
17:21:33,rt @hemprules people r mean #trylove,281
17:24:00,awesome to see all the people supporting environment corporate & govt responsibilty community activism! #pokrally,317
17:25:00,rt @reggiewassali awesome to see all the people supporting environment corporate & govt responsibilty community activism! #pokrally,333
17:25:45,so many people here this is awesome! pok is peace! #pokrallyinthepark,352
27,so many people here this is awesome! POK is peace! #POKRallyinthepark,352
17:26:37,estimates of the pok rally places attendance at roughly 1200 people #abilapost,368
17:26:42,estimates of pok rally has attendance at 1200 people #abila #centralbulletin,371
17:27:31,"the song """"river soldiers"""" is dedicated to the people from elodis""""",395
17:27:31,barf. people of elodis... can't think of a more syruppy song i've ever heard #gowawy,397
17:27:42,rt @centralbulletin estimates of pok rally has attendance at 1200 people #abila #centralbulletin,403
17:28:08,what is abila police doing? waiting for the pok terrorists to kidnap murder more people? #pok #terror,420
17:44:00,"people of kronos, rise up and take your country back! #pok",591
17:53:48,the people and the businesses of kronos should be partners with the lawmakers,674
18:02:05,what we need to demand proffessor is that people like you stop aiding terrorists #pok,752
18:05:15,over 10 years ago people. #getoverit #pokrally,783
18:06:15,rt @choconibbs over 10 years ago people. #getoverit #pokrally,793
18:30:00,dr. newman's speech is moving. activism is people actingæ¦_r the people!?pokrally,1026
18:32:00,rt @anaregents dr. newman's speech is moving. activism is people actingæ¦_r the people!?pokrally,1031
18:35:00,whos the enemy doc? the people of kronos? the kidnapped victims of pok terrror? ridiculous #pok,1078
18:37:00,rt @friendsofkronos whos the enemy doc? the people of kronos? the kidnapped victims of pok terrror? ridiculous #pok,1095
18:42:10,inspiring story of four people who made a difference for kronos wildlands: sow.kronos/environmentalheros,1153
18:47:09,unclear how many people are still inside the building #abilapost,1314
18:47:10,unclear how many people still inside of building #abila #centralbulletin,1321
18:48:09,rt @abilapost unclear how many people are still inside the building #abilapost,1364
18:52:14,where's all the people from upstairs?,1446
18:53:14,rt @greycatcollectibles where's all the people from upstairs?,1488
18:59:01,where did all these people come from? #worstblockpartyever,1582
19:17:00,"check out the new issue of arise, a magazine for people who want to take control of their destiny?#arise #pok",1845
19:19:00,"rt @footfingers check out the new issue of arise, a magazine for people who want to take control of their destiny?#arise #pok",1874
19:21:38,can't believe this place sometimes. people are so inconsiderate. #jerkdrivers,1931
19:26:55,taking bets on how many of these people are never heard from again.,2039
19:39:07,coffee shop owner just gave henri a coffee - yay abila! we have nice people here.,2206
19:40:29,i'm here with?some other people - we're all hiding behind the counter.,2253
19:41:07,"black van faces off two cop cars, shots fired, people undercover, not moving until its under control #troubleatgelato",2275
19:41:13,guy here peeked out window?- lots of people outside.,2284
19:41:48,lots of people took cover. get behind something folks. #tag,2319
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:11,just left coffee store - omg it could have been me. pray for people still there.,2336
19:42:11,lots of people in the stores - do they know they are in danger?,2337
19:42:11,lots of people trapped inside gelato. idiot standing up is going to get shot #tag,2338
19:42:11,everyone stay indoors -- there's someone shooting people at gelato galor!!!!!  don't go outside!,2339
19:43:11,rt @protoguy lots of people in the stores - do they know they are in danger?,2384
19:43:22,newspaper people wandering around are going to get shot #tag,2394
202,somany cops i cant beleive this is happening just wanted coffee,2414
19:44:23,looks like there are 3 cop cars and the black van two people in the front of van #shooting,2461
19:44:28,rt @kronosstar government officials are telling people to please stay away from the crime scene. #kronosstar,2469
19:44:29,rt @roger_roger i'm here with?some other people - we're all hiding behind the counter.,2475
212,Lots of displaced people wonder where they will all go tonight,2498
19:45:00,lots of displaced people wonder where they will all go tonight,2498
19:46:41,abila police department is keeping people away from the scene of the shooting. #intnews,2581
19:47:00,rt @dangermice lots of displaced people wonder where they will all go tonight,2591
19:48:23,rt @truccotrucco looks like there are 3 cop cars and the black van two people in the front of van #shooting,2630
19:48:41,rt @internationalnews abila police department is keeping people away from the scene of the shooting. #intnews,2636
221,the cops are scared of the people rising up against the system #POK,2647
19:49:00,the cops are scared of the people rising up against the system #pok,2647
19:49:00,i feel to awful about the attack on these poor people. we can send robots to mars why can't we find a way to stop ivolence,2648
19:51:00,rt @footfingers the cops are scared of the people rising up against the system #pok,2687
19:53:00,rt @joybubbles i feel to awful about the attack on these poor people. we can send robots to mars why can't we find a way to stop ivolence,2710
20:05:45,#apd is evacuating people from carlys coffeee across the street - arent we in the line of fire,2917
20:07:09,wait! pok terrorists with hostages these are the kidnapped people from gastech!,2953
20:07:09,cops are getting people out of general grocer,2954
20:08:01,they must have a van full of terrified people #pok #hostages,2970
20:10:00,i think i see people coming out the back of the general grocer,3007
20:10:00,groups of people running out of stores #tag,3008
20:10:22,people trying to leave in their cars - police say no  #tag,3032
20:11:00,rt @sara_nespola i think i see people coming out the back of the general grocer,3052
20:14:22,rt @megaman people trying to leave in their cars - police say no  #tag,3112
20:20:02,now people are showing up that were trapped in the coffee shop #hostage,3182
20:20:02,"bad guy: """"im outta here or people die""""  #tag""""",3183
20:20:02,witnesses report there may be people trapped in nearby businesses,3186
20:22:21,close to 200 people have gathered to watch standoff at alexandrias & ithakis #abilapost,3234
20:23:02,rt @homelandilluminations witnesses report there may be people trapped in nearby businesses,3247
20:25:00,@abilapost gag who cares about the moneygrubbers - people are hurt,3273
20:25:03,rt @newsonlinetoday people may be trapped in nearby businesses #abila,3277
20:28:00,rt @rockstar113 @abilapost gag who cares about the moneygrubbers - people are hurt,3316
20:30:00,we suport the pok's fight for the people of kronos #pok #apa,3341
20:30:15,kid says he saw 2 people in the van from the other side of the street #tag,3351
20:32:11,police moving people back - kid jujst got caught #tag,3377
20:33:11,rt @megaman police moving people back - kid jujst got caught #tag,3399
20:35:09,can't believe people in here are moving towards the danger #shooter #stupid,3445
20:40:00,just poked my head up looks like hundred of people outside #standoff,3503
21:00:04,did all the people get out safely? what about the animals?  #ddfire #poorpuppies,3690
291,everybody standing up watching cops are taking two away #standoff,3810
21:17:11,i think there giving up 2 people hands up got out of the van guy & girl,3852
21:21:11,a man and woman have surrended to police two more people have left the van i think there hostages,3906
21:24:11,rt @panopticon a man and woman have surrended to police two more people have left the van i think there hostages,3966
21:30:00,there has been an explosion from inside the apartment building.  several people are down. #kronosstar #dancingdolphinfire #afdheroes,4034
