,message,ID
17:00:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#kronosstar,3
17:00:00,pok rally in the park tonight! #pokrally,5
17:00:00,"ugh, these pokers are anooying! #pok #gowaway",7
17:00:00,massive rally of pok terrorists - cops are gathered waiting for arrests,8
17:01:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,17
17:02:00,"rt @mindofkronos ugh, these pokers are anooying! #pok #gowaway",27
17:02:31,pok leader sylvia market taking the stage for a warm welcome to the crowd,33
17:02:31,concerns of violence surround pok rally today heavy police presence #abilapost,34
17:03:31,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,44
17:03:44,pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,47
17:03:44,how long until pok terrorists start destroying the park,49
17:04:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,54
17:05:31,rt @pok pok leader sylvia market taking the stage for a warm welcome to the crowd,61
17:10:00,#apd has closed egeou st. fromæ¥_rla to pilau for the pok rally.æ¥usinesses in the area are advised to close early and prepare for possible rioting.?#kronosstar,99
17:10:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,100
17:10:00,#apd has closed egeou st between parla st & pilau st due to pok rally #abilapost,101
17:10:00,sylvia marek is speaking.æ¥_e's inspirational!?pokrally,103
17:11:02,"special guest at today's pok rally in the park is dr. audrey mcconnell newman, award-winnign activist and conservationist",120
17:11:53,pok rally expected to draw in excess of 1000 people #abilapost,129
17:11:59,another pok riot waiting to happend,133
17:12:00,rt @pok show your support for the pok! join us at the park! #pokrallyinthepark,135
17:12:53,rt @abilapost pok rally expected to draw in excess of 1000 people #abilapost,141
17:13:01,sylvia marek interviews greenlife founder estefan gurbuz: pok.kronos/meetourpartners,149
17:13:01,"pok trying to give an aura of cred - while kidnapping, extorting",153
17:13:02,"rt @pok special guest at today's pok rally in the park is dr. audrey mcconnell newman, award-winnign activist and conservationist",155
17:14:47,the asterian people's army supports the pok in their fight against tyranny and injustice #pok #apa,169
17:16:00,maha salo interviews pok?s sylvia marek: homelandillumination.kronos/marekinterview,202
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:18:47,rt @friendsofkronos what legitimate speaker would ally themself with pok,247
20,lots of cops but they cant stop us #POK,276
17:23:22,blah blah blah. pok trying to put everyone to sleep?,308
17:24:00,pok rally is peaceful so far but tense with a strong police presence #pokrally #abilapost,315
17:24:31,abila post says pok rally peaceful tell that to the people they kidnapped #pok #terror,325
17:25:00,rt @abilapost pok rally is peaceful so far but tense with a strong police presence #pokrally #abilapost,330
17:25:45,so many people here this is awesome! pok is peace! #pokrallyinthepark,352
27,so many people here this is awesome! POK is peace! #POKRallyinthepark,352
17:27:42,rt @centralbulletin estimates of pok rally has attendance at 1200 people #abila #centralbulletin,403
17:28:08,what is abila police doing? waiting for the pok terrorists to kidnap murder more people? #pok #terror,420
17:30:45,police have closed streets surrounding pok rally in abila #abila #centralbulletin,448
17:31:00,rt @abilapost #apd has closed parla st from egeou st north to alm st due to size of pok rally #abilapost,452
17:31:04,#apd has closed surrounding streets of pok rally is it crackdown time? hope so,455
17:32:04,rt @friendsofkronos #apd has closed surrounding streets of pok rally is it crackdown time? hope so,469
17:33:00,viktor-e's song 'river soldiers' was inspired by the work pok did for the town of elodis,478
17:33:45,rt @centralbulletin police have closed streets surrounding pok rally in abila #abila #centralbulletin,484
17:35:38,figured it out: pok are hippy terrorists,510
17:37:38,rt @friendsofkronos figured it out: pok are hippy terrorists,530
40,great new song from Viktor-E! River Soldiers is so powerful #POKRallyinthePark #viktor-e,533
17:38:14,everyone here at the pok rally is getting in the mood with music!,535
17:42:31,everyone here at the pok rally in the park is singing along with viktor-e to mitchell's big yellow taxi,572
17:42:31,pok teror destroys joni mitchell song - never think of it the same,574
17:45:00,viktor-e is bringing their special blend of inspiration and music to the pok rally in the park!,603
17:46:11,"there's still time to join the band at the abila city park, viktor-e will be playing after the pok presentations are done!",608
17:46:31,rt @pok everyone here at the pok rally in the park is singing along with viktor-e to mitchell's big yellow taxi,612
17:48:00,rt @maha_homeland viktor-e is bringing their special blend of inspiration and music to the pok rally in the park!,621
17:48:13,sylvia thanks viktor-e for joining the pok rally today and looks forward to more music later today,624
18:05:49,@sara pok says we kidnap and extort for poor julie #hogwash,789
18:06:49,rt @choconibbs @sara pok says we kidnap and extort for poor julie #hogwash,802
18:30:00,local coffee shop owner goes green:  pok.kronos/ourcommunity/beansnthings,1023
18:30:00,"does anyone beside me think the pok logo means """"just stop now""""?  #pokrally #drrotter""""",1025
18:30:00,dr. newman's speech is moving. activism is people actingæ¦_r the people!?pokrally,1026
18:32:00,rt @anaregents dr. newman's speech is moving. activism is people actingæ¦_r the people!?pokrally,1031
18:35:00,whos the enemy doc? the people of kronos? the kidnapped victims of pok terrror? ridiculous #pok,1078
18:37:00,rt @friendsofkronos whos the enemy doc? the people of kronos? the kidnapped victims of pok terrror? ridiculous #pok,1095
18:40:00,pok volunteers take action to clean the river: pok.kronos/events,1120
18:44:41,wouldn't be surprised if this is just to distract us from the pok rally.,1194
18:45:32,sylvia thanks dr. newman for being a park of this important day for the pok.,1242
18:45:32,#apd should be arresting everyone that has spoken today starting with sylvia marek #pok,1243
110,"Viktor-E playing my favorite """"Stand up Speak up""""! #POKRallyinthepark""""",1485
19:00:00,viktor-e playing for the next hour courtesy of the pok #pok,1598
19:02:00,photos of the pok rally in the park: pok.kronos/rallyinthepark,1633
19:02:00,join the pok and make a differnce #pok,1636
19:05:54,closing remarks by pok leader sylvia marek.,1706
19:07:00,syvlia thanks everyone for coming out to support the pok.,1719
19:07:00,pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1721
19:08:00,rt @kronosstar pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1733
125,dancin time! thanks #POK thanks Sylvia! #POK is peace!,1818
126,looks like im missing some Viktor-E! too bad gelatogalore didnt have a food stand at the rally #POK,1819
19:16:46,#abilapost are you joking? no violence? pok presence in the park is violence #pok,1838
19:23:00,rt @anaregents viktor-e and pok party in the park!,1954
19:41:07,what is abila coming to? used to be a peaceful city before pok started their peaceful movement #pok #terror,2274
19:41:57,cop shot at gelatogalore by pok terrorist knew it was only a matter of time #pok #terror,2325
19:42:03,cop killed by pok terorists! where does the violence stop? #pok #terror,2333
19:43:00,"good music, good message - viktor-e and pok in the park #pok",2374
19:44:03,rt @friendsofkronos cop killed by pok terorists! where does the violence stop? #pok #terror,2449
19:46:35,more cops coming to battle pok terrorists,2570
221,the cops are scared of the people rising up against the system #POK,2647
20:06:13,businesses around gelatogalore being evacuated out of danger from pok terrorists,2927
20:07:09,wait! pok terrorists with hostages these are the kidnapped people from gastech!,2953
20:15:01,just admit it sylvia marek you are a terrorist pok are terrorists and you orchestrated all this #pok #terror,3120
20:18:01,why has no one put it together? black van shooter rally hostages = pok rally distraction for pok kidnapping #pok #terror,3158
20:21:03,i found the kidnapped gastech employees there at gelatogalore with pok terrorists,3203
20:30:00,we suport the pok's fight for the people of kronos #pok #apa,3341
258,we suport the POK's fight for the people of Kronos #POK #APA,3341
20:40:00,just poked my head up looks like hundred of people outside #standoff,3503
20:47:13,stand off continues with pok terrorists,3559
20:50:00,mad at the system? join the pok's fight for justice #pok,3596
275,mad at the system? join the POK's fight for justice #POK,3596
20:52:00,rt @footfingers mad at the system? join the pok's fight for justice #pok,3619
20:52:00,poked my head up looks like negotiations are still going pls hurry poeple are starting to freak out in here #gelatogalorestandoff,3622
20:54:00,rt @truccotrucco poked my head up looks like negotiations are still going pls hurry poeple are starting to freak out in here #gelatogalorestandoff,3643
