,message,ID
17:02:31,concerns of violence surround pok rally today heavy police presence #abilapost,34
17:03:31,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,44
17:04:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,54
17:16:00,incomplete call for police,209
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:24:00,pok rally is peaceful so far but tense with a strong police presence #pokrally #abilapost,315
17:25:00,rt @abilapost pok rally is peaceful so far but tense with a strong police presence #pokrally #abilapost,330
17:25:31,rt @centralbulletin pok rally is peaceful but tense with strong police presence #abila #centralbulletin,345
17:28:08,what is abila police doing? waiting for the pok terrorists to kidnap murder more people? #pok #terror,420
17:28:21,almost enough police here now to take them all #pokrally,421
18:44:01,police and fire units have been dispatched to achilleos and madeg in response to a fire #abilapost,1186
18:44:22,abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1192
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:46:11,police arrived at dancing dolphin fire. #hi,1274
18:47:59,more police have arrived. still no word on any residents trapped in the building. #hi,1344
18:48:00,rt @homelandilluminations police report the building is being searched for occupants. #hi,1355
105,POLICE UNIT DISPATCHED-CROWD CONTROL,1363
111,Police are flooding the scene,1513
18:55:02,an additional police unit has arrived blocking off achilleos and madeg #abilapost?,1517
18:55:03,police have asked crowd to move away from scene. #hi,1521
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:56:03,rt @homelandilluminations police have asked crowd to move away from scene. #hi,1538
19:08:00,rt @kronosstar pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1733
19:16:07,more police have arrived for evacuation and crowd control #hi,1828
127,Wow - more police #abilafire,1829
19:17:07,rt @homelandilluminations more police have arrived for evacuation and crowd control #hi,1850
19:19:00,abila police department reports a car hit on souliou street #apd,1876
19:21:01,abila police department reports a bicyclist has been struck on the 500 block of schaber between eira and edessis #apd,1923
19:22:01,rt @abilapolicedepartment abila police department reports a bicyclist has been struck on the 500 block of schaber between eira and edessis #apd,1947
19:23:54,abila police department issues description of hit and run vehicle: a black van with partial license plate l829 #apd,1975
19:26:00,rt @homelandilluminations fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2027
19:27:00,rt @abilapolicedepartment abila police department urges any witnesses of the hit and run incident on schaber between eira & edessis to contact authorities with any information #apd,2046
19:30:00,police are going door to door ordering residents to vacate immediately. #hi,2091
19:35:07,another police unit has been dispatched to help with house to house evacuation?#abilapost,2138
19:35:58,pursuit-police unit #253 in pursuit,2151
19:36:00,"reports coming in about a possible hit and run, police in pursuit. #hi",2158
19:37:00,rt @abilapost if in the vicinity of achilleos & madeg please evacuate donot wait for fire or police officers #abilapost,2168
19:37:00,rt @kronosstar abila police are in pursuit of an erratic driver who ran a red light on polvo.  #kronosstar,2170
19:38:07,rt @abilapolicedepartment abila police department reports pursuit of suspected hit and run vehicle - pursuit is headed west on egeou?#apd,2188
19:39:07,pursuit-continues-police units #253 and #357,2207
19:40:00,abila police have cornered the erratic driver in a parking lot near the intersection of alexandrias and ithakis. shots fired. #kronosstar,2229
19:40:22,breaking news abila police report shots fired at gelato galore near the city park.,2241
19:40:29,abila police report shots fired at business #abila,2249
19:41:00,rt @kronosstar abila police have cornered the erratic driver in a parking lot near the intersection of alexandrias and ithakis. shots fired. #kronosstar,2263
19:41:00,still here but there's lots more police. what's going on?!!?,2270
19:41:45,don't think anyone ran for it; they didn'thave time before police pulled in #tag,2311
19:41:45,shots fired at gelato galore. police officer is down. #kronosstar,2313
19:41:57,witnesses report police holding off multiple gunmen #abila,2327
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:42:22,breaking news in abila! shots fired at gelato galore. police officer is down. #intnews,2352
19:42:45,rt @kronosstar shots fired at gelato galore. police officer is down. #kronosstar,2366
19:43:22,three killed in police action at #pok rally. smad.co.kronos/239nk89,2396
19:43:37,dire emergency/police needed-officer down-send additional units,2415
19:43:46,more police here and ambulance.  good luck getting him out. #tag,2425
19:43:57,ambulance on it sway to gleatogalore shooting police officer shot #pok,2433
208,looks like there are 3 cop cars and the black van two people in the front of van #shooting,2461
19:44:23,more police starting to arrive.  #tag,2463
19:44:40,police starting to move about - still can't see anyone in van - probably empty #tag,2480
19:44:40,police evacuating corner around alexandiras and ithakis for public safety,2481
19:44:45,rt @megaman don't think anyone ran for it; they didn'thave time before police pulled in #tag,2485
