,message,ID
17:00:00,don't miss a moment!  follow our live coverage of the pok rally in the park!,1
17:00:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#kronosstar,3
17:00:00,pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,4
17:00:00,pok rally in the park tonight! #pokrally,5
17:00:00,great day for a rally! #rememberjuliana #rememberelian #pok,6
17:00:00,massive rally of pok terrorists - cops are gathered waiting for arrests,8
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
17:01:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,17
17:02:31,concerns of violence surround pok rally today heavy police presence #abilapost,34
17:03:31,rt @abilapost concerns of violence surround pok rally today heavy police presence #abilapost,44
17:03:44,pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,47
17:04:00,rt @ourcountryourrights pok rally in the park tonight! #pokrally,51
17:04:44,rt @centralbulletin pok rally today in abila city park concerns of violence and heavy police presence #abila #centralbulletin,54
17:10:00,join us for rally racing this weekend #rally,95
17:10:00,warm welcome by sylvia marek for guest speakers for today's rally.,97
17:10:00,#apd has closed egeou st. fromæ¥_rla to pilau for the pok rally.æ¥usinesses in the area are advised to close early and prepare for possible rioting.?#kronosstar,99
17:10:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,100
17:10:00,#apd has closed egeou st between parla st & pilau st due to pok rally #abilapost,101
17:10:00,sylvia marek is speaking.æ¥_e's inspirational!?pokrally,103
17:10:00,rally time! ready for some inspiration #pok,105
3,rally time! ready for some inspiration #POK,105
17:11:00,rt @internationalnews pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,118
17:11:02,"special guest at today's pok rally in the park is dr. audrey mcconnell newman, award-winnign activist and conservationist",120
17:11:53,pok rally expected to draw in excess of 1000 people #abilapost,129
17:12:17,the rally has peaked my interest! #pok #rally #grammar,137
17:12:53,rt @abilapost pok rally expected to draw in excess of 1000 people #abilapost,141
17:13:00,rt @maha_homeland warm welcome by sylvia marek for guest speakers for today's rally.,144
17:13:00,rt @truccotrucco rally time! ready for some inspiration #pok,148
17:13:01,"dr. audrey mcconnell newman, internationally recognized environmental activist, traveled to abila to speak for the pok rally",150
17:13:02,"rt @pok special guest at today's pok rally in the park is dr. audrey mcconnell newman, award-winnign activist and conservationist",155
17:14:00,rt @powercrystals join us for rally racing this weekend #rally,159
8,Cant wait to hear Viktor-E! #POKRally,170
12,Sylvia rocks! you go girl #POKRally,207
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:19:00,lucio jakab of save our wetlands speaking now at pok rally #abilapost,253
20,lots of cops but they cant stop us #POK,276
17:24:00,pok rally is peaceful so far but tense with a strong police presence #pokrally #abilapost,315
17:24:31,pok rally is peaceful but tense with strong police presence #abila #centralbulletin,323
17:24:31,abila post says pok rally peaceful tell that to the people they kidnapped #pok #terror,325
17:25:00,rt @abilapost pok rally is peaceful so far but tense with a strong police presence #pokrally #abilapost,330
17:25:31,rt @centralbulletin pok rally is peaceful but tense with strong police presence #abila #centralbulletin,345
27,so many people here this is awesome! POK is peace! #POKRallyinthepark,352
17:26:37,estimates of the pok rally places attendance at roughly 1200 people #abilapost,368
17:26:42,estimates of pok rally has attendance at 1200 people #abila #centralbulletin,371
17:27:42,rt @centralbulletin estimates of pok rally has attendance at 1200 people #abila #centralbulletin,403
17:30:00,#apd has closed parla st from egeou st north to alm st due to size of pok rally #abilapost,446
17:30:45,police have closed streets surrounding pok rally in abila #abila #centralbulletin,448
17:31:00,rt @abilapost #apd has closed parla st from egeou st north to alm st due to size of pok rally #abilapost,452
17:31:04,#apd has closed surrounding streets of pok rally is it crackdown time? hope so,455
17:32:04,rt @friendsofkronos #apd has closed surrounding streets of pok rally is it crackdown time? hope so,469
17:33:45,rt @centralbulletin police have closed streets surrounding pok rally in abila #abila #centralbulletin,484
17:38:14,everyone here at the pok rally is getting in the mood with music!,535
17:40:00,booking abila city park for the human trafficking rally in march #savepeople,551
17:42:31,everyone here at the pok rally in the park is singing along with viktor-e to mitchell's big yellow taxi,572
17:43:00,rt @junk99902 booking abila city park for the human trafficking rally in march #savepeople,580
17:45:00,viktor-e is bringing their special blend of inspiration and music to the pok rally in the park!,603
17:46:31,rt @pok everyone here at the pok rally in the park is singing along with viktor-e to mitchell's big yellow taxi,612
17:48:00,rt @maha_homeland viktor-e is bringing their special blend of inspiration and music to the pok rally in the park!,621
17:48:13,sylvia thanks viktor-e for joining the pok rally today and looks forward to more music later today,624
17:49:27,viktor-e wants to thank all the fans who have turned out for a great rally today.,638
17:50:27,rt @viktor-e viktor-e wants to thank all the fans who have turned out for a great rally today.,650
18:23:10,i literally felt like blowing them up #pok #rally #grammar,970
18:30:00,dr. newman's speech is moving. activism is people actingæ¦_r the people!?pokrally,1026
18:32:00,rt @anaregents dr. newman's speech is moving. activism is people actingæ¦_r the people!?pokrally,1031
18:44:41,wouldn't be surprised if this is just to distract us from the pok rally.,1194
18:47:03,bert hanns tells rally how he draws inspiration from the historical persons,1309
18:49:03,rt @viktor-e bert hanns tells rally how he draws inspiration from the historical persons,1391
18:50:21,join the movement rally.kronos/friendsofllm #rally,1412
110,"Viktor-E playing my favorite """"Stand up Speak up""""! #POKRallyinthepark""""",1485
19:02:00,photos of the pok rally in the park: pok.kronos/rallyinthepark,1633
19:07:00,pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1721
19:08:00,rt @kronosstar pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1733
19:15:00,looks like im missing some viktor-e! too bad gelatogalore didnt have a food stand at the rally #pok,1819
19:40:41,wth? did the rally get?violent?,2259
19:41:33,why didnt i stay at the rally? im trapped in here the van is right outsdie the door,2298
19:41:45,wth? did the stupid rally get?violent?,2316
19:42:41,rt @roger_roger wth? did the rally get?violent?,2363
19:43:22,three killed in police action at #pok rally. smad.co.kronos/239nk89,2396
19:43:33,rt @truccotrucco why didnt i stay at the rally? im trapped in here the van is right outsdie the door,2407
19:45:45,rt @roger_roger wth? did the stupid rally get?violent?,2543
19:46:41,sylvia's rally in the park just a distraction? #pok #terroristsnotasdumbastheylook,2577
221,the cops are scared of the people rising up against the system #POK,2647
20:13:00,rally is breaking up - peacefully tonight but next time... #pok,3094
20:13:00,its a standoff what do you know? cops dont do anything at rally they dont do anything at shooting #pok,3095
20:15:01,rallys over can't wait for the next one.?thanks sylvia! #pok,3119
20:18:01,why has no one put it together? black van shooter rally hostages = pok rally distraction for pok kidnapping #pok #terror,3158
20:25:00,"mikal, oso - are you still at the rally? can i crash at your place? no telling when i can get home tonite #couchsurf",3271
258,we suport the POK's fight for the people of Kronos #POK #APA,3341
20:48:44,shuoldve stayed at the rally #standoff,3576
