,message,ID
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
19,greedy corporations are ruining Kronos and poisoning the people. fight back! #POK,264
26,President Kapelou is a stooge for greeddy Tethan corperations #POK,335
17:25:00,president kapelou is a stooge for greeddy tethan corperations #pok,335
31,the capitalists don't care about the poeple of Kronos #POK,386
17:28:00,rt @footfingers president kapelou is a stooge for greeddy tethan corperations #pok?,414
87,i think the dancin dolphin is on fire!,1151
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:46:00,no word yet on residents in dancing dolphin. #hi,1264
18:47:00,residents have begun to trickle out of the dancing dolphin #abilapost,1298
18:47:03,several residents are exiting building. #hi,1308
18:47:09,residents being saved from dancing dolphin fire in abila. #newsonline,1315
18:47:59,more police have arrived. still no word on any residents trapped in the building. #hi,1344
18:47:59,@hi of course there's nothing on the residents. there has to be residents in the first place,1346
18:48:00,rt @homelandilluminations no word yet on residents in dancing dolphin. #hi,1354
18:48:00,residents  trickling out of dancing dolphin. #hi,1359
18:49:00,rt @homelandilluminations residents  trickling out of dancing dolphin. #hi,1382
18:50:21,residents report top floors of apartments were unoccupied. #hi,1410
18:50:59,rt @trollingsnark @hi of course there's nothing on the residents. there has to be residents in the first place,1423
18:52:27,residents?continue making their way out of the apartment building unclear how many are still inside #abilapost,1460
18:52:37,firefighters have assisted several residents out of the building #afd #heroes?#abilapost,1466
18:53:02,firefighters assisting residents out of dancing dolphin fire #abila #centralbulletin,1476
18:53:10,paramedics have arrived at the scene and are treating some of the evacuated residents for smoke inhalation. #kronosstar #dancingdolphinfire,1479
18:53:10,three fire engines and several police units at site.  residents are being evacuated. #hi,1480
18:53:27,rt @abilapost residents?continue making their way out of the apartment building unclear how many are still inside #abilapost,1492
18:53:37,rt @abilapost firefighters have assisted several residents out of the building #afd #heroes?#abilapost,1496
18:55:01,paramedics on the scene treating evacuated residents of @dancingdolphin #abilapost #firstresponders,1511
18:55:02,residents are being treated for smoke inhalation and minor injuries. #hi,1518
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:56:02,rt @homelandilluminations residents are being treated for smoke inhalation and minor injuries. #hi,1533
18:57:01,rt @abilapost paramedics on the scene treating evacuated residents of @dancingdolphin #abilapost #firstresponders,1553
18:58:46,nearby residents being evacuated in dancing dolphin fire in abila. #newsonline,1574
18:59:01,paramedics say there are no serious injuries among the building residents. #kronosstar #dancingdolphinfire,1580
18:59:01,a resident may be trapped on upper floor. #hi,1581
18:59:34,firemen report they are rescuing one resident trapped on upper floor. #hi,1588
18:59:46,rt @newsonlinetoday nearby residents being evacuated in dancing dolphin fire in abila. #newsonline,1589
19:00:00,residents report no one lived on floors 4-6. #hi,1595
19:00:01,rt @kronosstar paramedics say there are no serious injuries among the building residents. #kronosstar #dancingdolphinfire,1599
19:00:01,rt @homelandilluminations a resident may be trapped on upper floor. #hi,1603
19:00:31,firemen have rescued a resident from the upper floors of the building. #kronosstar #dancingdolphinfire #afdheroes,1607
19:00:34,rt @homelandilluminations firemen report they are rescuing one resident trapped on upper floor. #hi,1610
19:00:42,firefighters have rescued a resident from the upper floors of @dancingdolphin #abilapost?,1611
19:00:42,no word on trapped resident. #hi,1612
19:01:42,rt @abilapost firefighters have rescued a resident from the upper floors of @dancingdolphin #abilapost?,1622
19:01:42,rt @homelandilluminations no word on trapped resident. #hi,1623
19:02:00,rt @homelandilluminations residents report no one lived on floors 4-6. #hi,1627
19:02:00,residents rescued in dancing dolphin fire #abila #intnews,1628
19:02:00,resident rescued from upper floors of dancing dolphin apartment #abila #centralbulletin,1629
19:10:00,trapped resident rescued in abila fire. #abila #newsonline,1758
19:11:00,rt @newsonlinetoday trapped resident rescued in abila fire. #abila #newsonline,1772
19:20:00,president dorel kapelou on the kronos #afd #scandal.  smad.co.kronos/39cni39s,1901
19:25:00,fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2000
19:26:00,rt @homelandilluminations fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2027
19:27:00,"additional residents being evacuated in dancing dolphin fire in abila, #newsonline",2048
19:28:00,"rt @newsonlinetoday additional residents being evacuated in dancing dolphin fire in abila, #newsonline",2060
19:30:00,police are going door to door ordering residents to vacate immediately. #hi,2091
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:45:11,#gastech president sanjorge among world's wealthiest  smad.co.kronos/9njpp39,2516
221,the cops are scared of the people rising up against the system #POK,2647
258,we suport the POK's fight for the people of Kronos #POK #APA,3341
21:15:00,abila fire department reports fire is not yet controlled - residents should wait to return to their homes #afd,3816
21:22:00,officials report fire is controlled.  no word yet on when nearby residents can return to their homes. #hi,3918
21:23:00,rt @homelandilluminations officials report fire is controlled.  no word yet on when nearby residents can return to their homes. #hi,3931
