datetime,message,ID
19:35:07,henri -bike guy- done talking to coppers now looking at his trashed bike.,2143
19:35:07,going to give the biker a coffee!! he's bean served!,2144
19:36:00,i think he's? crying.,2159
19:39:07,rt @brewvebeenserved going to give the biker a coffee!! he's bean served!,2204
19:39:07,coffee shop owner just gave henri a coffee - yay abila! we have nice people here.,2206
19:39:40,except for that derp who hit henri.,2212
19:39:40,our awesome coffee cheered him up he's ok now!!,2213
19:40:00,abila police have cornered the erratic driver in a parking lot near the intersection of alexandrias and ithakis. shots fired. #kronosstar,2229
19:45:00,imagine a kronos without corporate pollution then act to make it happen #pok,2501
19:46:47,cops are leaving! cops are scared of the power of community #pokrally,2583
19:49:00,the cops are scared of the people rising up against the system #pok,2647
19:51:00,rt @footfingers the cops are scared of the people rising up against the system #pok,2687
