,message,ID
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:43:00,reports of hostage standoff at corner of ithakis and alexandrias.,2378
19:43:11,report of hostage standoff #abila,2388
19:43:39,ambulance arrived at scene of standoff,2417
19:47:39,rt @homelandilluminations ambulance arrived at scene of standoff,2608
19:57:32,prayers for a swift and peaceful resolution to standoff at gelatogalore,2773
20:00:00,#apd is establishing a security perimeter around the standoff #abilapost,2822
20:05:00,apd is evacuating the businesses near the gelato galore standoff. #kronosstar,2906
238,#APD is evacuating us #standoff,2907
20:06:00,rt @kronosstar apd is evacuating the businesses near the gelato galore standoff. #kronosstar,2924
239,i think there's a hostage - why isnt #APD doing more #standoff,2931
20:06:27,praying for a peaceful resolution to the standoff #abilaprays,2933
20:11:21,#apd are interviewing evacuees from businesses surrounding the gelatogalore standoff #abilapost,3069
20:13:00,its a standoff what do you know? cops dont do anything at rally they dont do anything at shooting #pok,3095
20:15:01,evacuations of area businesses are under way at police standoff,3123
20:15:47,police evacuating area of businesses underway near police standoff #abila,3132
20:16:01,rt @homelandilluminations evacuations of area businesses are under way at police standoff,3134
20:17:47,rt @newsonlinetoday police evacuating area of businesses underway near police standoff #abila,3152
20:20:02,standoff between apd and shooters continues at gelato galore. #kronosstar,3185
20:21:02,rt @kronosstar standoff between apd and shooters continues at gelato galore. #kronosstar,3200
20:21:34,standoff continues with multiple gunmen with unknown number of hostages,3222
20:21:43,standoff continues with multiple gunmen and unknown number of hostages #abila,3225
20:22:21,close to 200 people have gathered to watch standoff at alexandrias & ithakis #abilapost,3234
20:25:00,abila standoff continues in a stalemate. #abila #intnews,3275
20:26:02,what will the economic impact of this standoff be for businesses in the vicinity? #abilapost,3286
20:30:00,despite being advised to avoid the area the crowd has continued to grow around the standoff #abilapost,3343
20:31:00,rt @abilapost despite being advised to avoid the area the crowd has continued to grow around the standoff #abilapost,3357
262,why dont the cops do anything? save us pls! #APD #standoff,3402
20:34:03,this standoff is going nowhere do they have hostages or someothing?,3420
20:45:00,anybody out there watching the standoff i iwll gladly switch places with you #idiots #standoff,3537
20:45:00,nothing new to report: heavily armed #apd swat still in standoff with occupants of black van #abilapost,3539
20:45:00,cops have cordoned off the area but i got a pretty good view now of the standoff,3540
20:48:00,rt @abilapost nothing new to report: heavily armed #apd swat still in standoff with occupants of black van #abilapost,3569
277,poked my head up looks like negotiations are still going pls hurry poeple are starting to freak out in here #gelatogalorestandoff,3622
21:03:37,what a silly place for a police standoff!  #gelatogalore #apd,3734
291,everybody standing up watching cops are taking two away #standoff,3810
292,hostages are free! 2 women i think hard to tell #standoff,3820
294,everybody's safe cops got the bad guys and the hostages are safe #standoff,3848
21:20:50,tahnks to apd standoff is over! #apdheroes,3889
299,tahnks to APD standoff is over! #APDheroes,3889
21:21:11,great work #apd! negotiated a peaceful end to a tense standoff #abilapost,3903
304,looks like it ended peaceful after the shots at first hope that cop is OK,3924
21:23:11,rt @abilapost great work #apd! negotiated a peaceful end to a tense standoff #abilapost,3945
