,message,ID
193,OMG Abila Post says a cop got shot! what is happening??????,2332
209,DIRE EMERGENCY/SWAT TEAM DISPATCHED,2472
19:44:28,dire emergency/swat team dispatched,2472
216,more cops have arrived someone just saw #shooting,2553
19:55:00,swat has shown up,2728
19:55:00,#apd swat team has arrived at the scene of the stand off at gelatogalore at alexandrias and ithakis?#abilapost,2731
19:55:00,apd swat has arrived at the scene of the shooting at gelato galore. #kronosstar #apdswat,2732
19:55:00,holy cow swat showed up this is getting crazy #standoff,2735
227,holy cow SWAt showed up this is getting crazy #standoff,2735
19:55:59,i think the swat team has arrived hopefully stand off ends soon #shooting #standoff,2744
19:56:57,bug problem?call swat - we kill em all #swat #bugs,2753
19:56:57,#apd swat team arrives in armored vehicle #abilapost,2755
19:56:57,abila police swat team has arrived at scene of stand off #abila #centralbulletin,2756
19:57:00,#apd swat on the scene! take the terrorists down boys! #pok,2761
19:57:00,swat guys are going to take this dude down,2763
19:57:00,swat has arrived they're gonna shoot him,2764
19:57:00,@ben yeah swat. i'm trying to stay where i am but ... #tag,2765
19:57:00,swat is here crazy looks just a movie its about to go down!,2766
19:57:57,rt @centralbulletin abila police swat team has arrived at scene of stand off #abila #centralbulletin,2781
19:58:00,rt @friendsofkronos #apd swat on the scene! take the terrorists down boys! #pok,2784
19:59:00,rt @protoguy swat has shown up,2798
19:59:31,abila situation has escalated and now involved the swat unit. #intnews,2810
20:00:00,swat is pulling back omg police are lame just shoot him,2819
20:00:00,apd transitioning command to swat. #kronosstar,2823
20:00:00,loooks like #apd swat is pulling back are they going to negotiate with this crazy guy?,2824
20:00:00,i've never seen swat up close not sure i wanted to #standoff,2827
20:02:00,rt @protoguy swat is pulling back omg police are lame just shoot him,2840
20:02:00,rt @simon_hamaeth i've never seen swat up close not sure i wanted to #standoff,2841
20:02:31,rt @internationalnews abila situation has escalated and now involved the swat unit. #intnews,2845
20:04:00,rt @kronosstar apd transitioning command to swat. #kronosstar,2847
20:01:57,swat team appears to have taken command,2861
20:02:57,rt @homelandilluminations swat team appears to have taken command,2867
20:03:32,i see?some swat dudes setting up on the top of a building,2873
20:03:32,swat team appears to be in command #abila,2876
238,#APD is evacuating us #standoff,2907
20:05:32,rt @protoguy i see?some swat dudes setting up on the top of a building,2909
239,i think there's a hostage - why isnt #APD doing more #standoff,2931
20:06:58,i guess the swat guys can't see the hostages so they don't want to shoot,2938
20:10:00,swat guy is talking to van dude trying to get him to give up,3006
20:18:01,van guy waving gun at the roofs. thinks swats there?  #tag,3159
262,why dont the cops do anything? save us pls! #APD #standoff,3402
20:34:00,arent swat suppposed to be the tough buys that swoop in & save the day? what are they waiting for? were trapped!,3413
20:35:02,ha - two of the swat guys just walked by and didn't notice me.  #lucky #tag,3435
20:45:00,nothing new to report: heavily armed #apd swat still in standoff with occupants of black van #abilapost,3539
20:46:07,abila police swat still in stand off #abila #centralbulletin,3553
20:48:00,rt @abilapost nothing new to report: heavily armed #apd swat still in standoff with occupants of black van #abilapost,3569
299,tahnks to APD standoff is over! #APDheroes,3889
