,message,ID
17:00:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#kronosstar,3
17:00:00,pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,4
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
17:01:00,rt @abilapost pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,17
17:02:31,pok leader sylvia market taking the stage for a warm welcome to the crowd,33
17:03:44,sylvia marek is introducing the guests,46
17:05:13,sylvia marek opens with welcoming remarks. #pok,58
17:05:31,rt @pok pok leader sylvia market taking the stage for a warm welcome to the crowd,61
17:09:13,rt @ourcountryourrights sylvia marek opens with welcoming remarks. #pok,91
17:10:00,warm welcome by sylvia marek for guest speakers for today's rally.,97
17:10:00,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,100
17:10:00,sylvia marek is speaking.æ¥_e's inspirational!?pokrally,103
3,rally time! ready for some inspiration #POK,105
17:11:00,rt @internationalnews pok rally to start in abila city park. pok leader sylvia marek to open with a speech.?#intnews,118
17:11:02,terrorist leader sylvia marek tring to greenwash her terror group #pok,122
17:13:00,rt @maha_homeland warm welcome by sylvia marek for guest speakers for today's rally.,144
17:13:01,sylvia marek interviews greenlife founder estefan gurbuz: pok.kronos/meetourpartners,149
17:14:47,i <3 sylvia! #pok,171
17:15:01,"sylvia introduces lucio jakab, founder of save our wildlands",184
17:16:00,maha salo interviews pok?s sylvia marek: homelandillumination.kronos/marekinterview,202
12,Sylvia rocks! you go girl #POKRally,207
17:16:00,sylvia rocks! you go girl #pokrally,207
17:18:00,rt @truccotrucco sylvia rocks! you go girl #pokrally,228
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
22,Lucio Jakab tells it like it is #POK #SOW,296
27,so many people here this is awesome! POK is peace! #POKRallyinthepark,352
17:28:02,sylvia marak thanks lucio jakab for sharing his passion for our kronos wildlands,415
17:48:13,sylvia thanks viktor-e for joining the pok rally today and looks forward to more music later today,624
17:49:53,sylvia marek welcomes lorenzo di stefano to the podium,642
18:10:02,sylvia marek introduces special guest dr. audrey mcconnell newman,837
18:10:02,slippery sylvia introduces dr. rotter  #pokrally,838
18:12:03,"sylvia introduces audrey newman, internationally renown environmental scientist",859
18:14:02,rt @choconibbs slippery sylvia introduces dr. rotter  #pokrally,878
18:33:24,not really feelin the doc kinda wish sylvia would just keep speaking #pok,1059
18:35:24,rt @truccotrucco not really feelin the doc kinda wish sylvia would just keep speaking #pok,1082
18:45:32,sylvia thanks dr. newman for being a park of this important day for the pok.,1242
18:45:32,#apd should be arresting everyone that has spoken today starting with sylvia marek #pok,1243
18:46:11,sylvia marek welcomes viktor-e back on stage to sing their hit 'stand up speak up',1276
110,"Viktor-E playing my favorite """"Stand up Speak up""""! #POKRallyinthepark""""",1485
18:57:13,next up: closing remarks by sylvia marek.,1566
18:59:01,sylvia thanks all the speakers and the band,1583
19:02:00,sylvia marek thanks speakers lucio jakab lorenzo di stefano and dr. newman #pokrally #abilapost,1634
19:02:00,sylvia is back on stage i guess this is the end #pokrally,1635
115,join the POK and make a differnce #POK,1636
19:03:00,rt @abilapost sylvia marek thanks speakers lucio jakab lorenzo di stefano and dr. newman #pokrally #abilapost,1658
19:03:48,sylvia reminds us all to make a difference everyday day to make the world a better place for all,1676
19:05:54,closing remarks by pok leader sylvia marek.,1706
19:15:00,dancin time! thanks #pok thanks sylvia! #pok is peace!,1818
125,dancin time! thanks #POK thanks Sylvia! #POK is peace!,1818
19:18:00,rt @truthforcadau dancin time! thanks #pok thanks sylvia! #pok is peace!,1858
19:46:41,sylvia's rally in the park just a distraction? #pok #terroristsnotasdumbastheylook,2577
20:15:01,rallys over can't wait for the next one.?thanks sylvia! #pok,3119
20:15:01,just admit it sylvia marek you are a terrorist pok are terrorists and you orchestrated all this #pok #terror,3120
20:27:33,no amount of greenwashing can clean your terror organization sylvia #pok #terror,3311
258,we suport the POK's fight for the people of Kronos #POK #APA,3341
