,message,ID
17:00:00,massive rally of pok terrorists - cops are gathered waiting for arrests,8
0,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,9
17:03:44,marek - terrorist introducing more terrorists #pokrally,48
17:03:44,how long until pok terrorists start destroying the park,49
17:11:02,terrorist leader sylvia marek tring to greenwash her terror group #pok,122
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
17:18:33,stupd cops i have lost faith in #apd just arrest all these terrorists and figure it out later,243
20,lots of cops but they cant stop us #POK,276
17:21:00,lucio jakab & save our wetlands terrorist sympathesizers #pok,277
27,so many people here this is awesome! POK is peace! #POKRallyinthepark,352
17:26:58,1200 terrorists in abila city park and the police does nothing #pok #terrorists,379
17:28:08,what is abila police doing? waiting for the pok terrorists to kidnap murder more people? #pok #terror,420
17:28:58,rt @friendsofkronos 1200 terrorists in abila city park and the police does nothing #pok #terrorists,434
17:32:55,boycott viktor-e! boycott viktor-e! terrorist supporters are terrorists #pok,475
17:35:38,figured it out: pok are hippy terrorists,510
17:37:38,rt @friendsofkronos figured it out: pok are hippy terrorists,530
18:02:05,what we need to demand proffessor is that people like you stop aiding terrorists #pok,752
19:41:00,gunfire at gelatogalore give ya one guess: pok terrorists,2264
19:41:57,cop shot at gelatogalore by pok terrorist knew it was only a matter of time #pok #terror,2325
19:43:00,stay away from gelatogalore terrorists shooting cops! #pok #terror,2375
19:46:35,more cops coming to battle pok terrorists,2570
218,cops are leaving without violence #peacerules #POK,2596
221,the cops are scared of the people rising up against the system #POK,2647
19:57:00,#apd swat on the scene! take the terrorists down boys! #pok,2761
19:58:00,rt @friendsofkronos #apd swat on the scene! take the terrorists down boys! #pok,2784
19:59:31,terrorists have hostages! #pok #terror,2806
20:01:11,apd stop the terrorists before they cut the hostages head off! #pok,2850
20:04:11,rt @friendsofkronos apd stop the terrorists before they cut the hostages head off! #pok,2885
20:06:13,businesses around gelatogalore being evacuated out of danger from pok terrorists,2927
20:07:09,wait! pok terrorists with hostages these are the kidnapped people from gastech!,2953
20:10:22,shooting cops is terrorism dont negotiate with terrorists #pok #terror,3031
20:15:01,just admit it sylvia marek you are a terrorist pok are terrorists and you orchestrated all this #pok #terror,3120
20:21:03,i found the kidnapped gastech employees there at gelatogalore with pok terrorists,3203
20:25:00,terrorists love random violence shoot an innocent bystander why not? #pok,3272
258,we suport the POK's fight for the people of Kronos #POK #APA,3341
20:31:01,i know lets get close to the terrorists #pok,3358
20:31:59,stand off dragging on are they debating how stufpid the terrorists are? #pok,3371
20:32:52,no deal with terrorists #pok,3383
262,why dont the cops do anything? save us pls! #APD #standoff,3402
20:33:59,rt @friendsofkronos stand off dragging on are they debating how stufpid the terrorists are? #pok,3406
20:47:13,stand off continues with pok terrorists,3559
291,everybody standing up watching cops are taking two away #standoff,3810
294,everybody's safe cops got the bad guys and the hostages are safe #standoff,3848
21:19:03,two hostages saved two terrorists arrested,3870
21:21:11,one male one female terrorist surrender #pok,3902
21:21:39,great work apd you negotiated with terrorists - bullets are swift justice #pok,3914
21:23:03,stand off with pok terrorists ends without more violence,3937
21:23:34,suspects? terrorists names have not been released #pok,3948
21:24:34,rt @friendsofkronos suspects? terrorists names have not been released #pok,3970
21:24:39,rt @friendsofkronos great work apd you negotiated with terrorists - bullets are swift justice #pok,3972
21:25:11,rt @friendsofkronos one male one female terrorist surrender #pok,3987
