,message,ID
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
20,lots of cops but they cant stop us #POK,276
17:24:00,awesome to see all the people supporting environment corporate & govt responsibilty community activism! #pokrally,317
17:25:00,rt @reggiewassali awesome to see all the people supporting environment corporate & govt responsibilty community activism! #pokrally,333
17:43:09,bert credits joni mitchell with inspiring him to show his community activism through music.,584
17:44:09,rt @viktor-e bert credits joni mitchell with inspiring him to show his community activism through music.,595
18:12:54,dr. newman has a phd from the united states in ecological economics,869
18:14:13,dr. newman believes education and community action are crucial to the environmental movement.,881
18:16:13,rt @pok dr. newman believes education and community action are crucial to the environmental movement.,906
18:21:44,dr. newman is saying that education is the key to being an effective leader and community organizer,958
18:24:44,rt @saveourwildlands dr. newman is saying that education is the key to being an effective leader and community organizer,980
18:30:00,local coffee shop owner goes green:  pok.kronos/ourcommunity/beansnthings,1023
18:42:10,abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1149
18:43:21,all units broadcast-building fire,1171
18:44:00,police needed-police units #101 and #220 dispatched to fire,1185
18:44:01,police and fire units have been dispatched to achilleos and madeg in response to a fire #abilapost,1186
18:44:10,rt @kronosstar abila fire department has dispatched 2 units to a possible fire at the dancing dolphin apartment complex. #kronosstar,1187
18:44:22,abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1192
95,Fire trucks are arriving at the dancing dolphin #abilaFire,1214
18:45:22,rt @kronosstar abila police department has sent two units to the fire at the dancing dolphin apartments. #kronosstar,1226
18:46:11,2 police units arrived and are managing crowd #abilapost,1273
18:47:11,additional fire units have been called in to assist at the dancing dolphin fire. #kronosstar,1322
18:48:02,police unit dispatched-crowd control,1363
105,POLICE UNIT DISPATCHED-CROWD CONTROL,1363
18:53:10,three fire engines and several police units at site.  residents are being evacuated. #hi,1480
18:55:02,an additional police unit has arrived blocking off achilleos and madeg #abilapost?,1517
19:11:45,abila fd has requested two fresh fire units to replace the original responding units. #kronosstar #dancingdolphinfire,1778
19:12:02,two #afd units have been called to replace the firefighters on the scene?@dancingdolphin?#abilapost,1784
19:16:07,an additional police unit has arrived at the scene to help with crowd control. #kronosstar #dancingdolphinfire,1827
127,Wow - more police #abilafire,1829
19:17:07,rt @kronosstar an additional police unit has arrived at the scene to help with crowd control. #kronosstar #dancingdolphinfire,1847
19:20:42,the two fresh fire units have arrived and are relieving the original responders.  #kronosstar #dancingdolphinfire #afdheroes,1909
19:21:42,rt @kronosstar the two fresh fire units have arrived and are relieving the original responders.  #kronosstar #dancingdolphinfire #afdheroes,1933
19:22:00,all units broadcast-felony hit & run-black van/partial plate #l829,1944
19:35:07,another police unit has been dispatched to help with house to house evacuation?#abilapost,2138
19:35:58,pursuit-police unit #253 in pursuit,2151
19:36:00,pursuit continues-police units #253 and #357/second unit joins,2162
19:39:07,pursuit-continues-police units #253 and #357,2207
193,OMG Abila Post says a cop got shot! what is happening??????,2332
19:43:11,apd has one unit on site.,2387
202,somany cops i cant beleive this is happening just wanted coffee,2414
19:43:37,dire emergency/police needed-officer down-send additional units,2415
19:44:11,apb reports more apd units en route,2454
19:44:11,police units dispatched,2457
213,imagine a Kronos without corporate pollution then act to make it happen #POK,2501
19:45:11,rt @homelandilluminations apd has one unit on site.,2512
19:45:11,rt @homelandilluminations apb reports more apd units en route,2513
19:45:47,additional #apd units have arrived at the scen of shooting at gelatogalore #abilapost,2545
19:46:00,additional apd units on site of hostage scene,2556
19:46:41,additional police units have responded to shooting scene #abila #centralbulletin,2580
19:46:47,cops are leaving! cops are scared of the power of community #pokrally,2583
19:47:00,rt @homelandilluminations additional apd units on site of hostage scene,2593
19:47:00,additional apd units have been called to the scene of the shooting near general grocer and gelato galore. #kronosstar,2599
19:47:41,rt @centralbulletin additional police units have responded to shooting scene #abila #centralbulletin,2611
19:48:00,rt @kronosstar additional apd units have been called to the scene of the shooting near general grocer and gelato galore. #kronosstar,2622
221,the cops are scared of the people rising up against the system #POK,2647
19:57:32,tactical units have arrived at scene,2774
19:58:13,tactical units arrived at scene #abila,2791
19:58:32,rt @homelandilluminations tactical units have arrived at scene,2795
19:59:31,abila situation has escalated and now involved the swat unit. #intnews,2810
20:00:13,rt @newsonlinetoday tactical units arrived at scene #abila,2830
20:02:31,rt @internationalnews abila situation has escalated and now involved the swat unit. #intnews,2845
258,we suport the POK's fight for the people of Kronos #POK #APA,3341
20:35:09,afd has summoned three additional fire units to help control the blaze. #kronosstar #dancingdolphinfire #afdheroes,3438
20:35:09,additional fire units have been dispatched to dancing dolphin fire. #hi,3440
20:37:09,rt @kronosstar afd has summoned three additional fire units to help control the blaze. #kronosstar #dancingdolphinfire #afdheroes,3472
20:45:00,additional units have arrived at dancing dophin fire. #hi,3534
20:46:00,rt @homelandilluminations additional units have arrived at dancing dophin fire. #hi,3550
21:22:00,crime scene investigation-request-additional units-location/dwelling of interest,3926
