,message,ID
18:10:02,vandalism-report,839
133,Some moron in a black van just hit my car!,1898
19:20:00,some moron in a black van just hit my car!,1898
19:21:38,free coffee to anyone who caught the license plate of that black van! #jerkdrivers,1930
19:22:00,omg!!!!!!! some derp in a?balck?van just?hit a guy on a bike!!!!!,1942
19:22:00,omg! a van just hit a guy on a bike.,1943
19:22:00,all units broadcast-felony hit & run-black van/partial plate #l829,1944
19:23:54,abila police department issues description of hit and run vehicle: a black van with partial license plate l829 #apd,1975
19:24:15,suspicious occupied vehicle-black van,1984
146,SUSPICIOUS OCCUPIED VEHICLE-BLACK VAN,1984
19:24:38,rt @brewvebeenserved free coffee to anyone who caught the license plate of that black van! #jerkdrivers,1990
19:25:00,#apd has released description of hit and run vehicle from 500 block of schaber: black van with partial license l829 #abilapost,2005
19:40:00,wow some crazy black van just got pulled over in the parking lot - dinner & a show!,2228
19:40:00,omg dude in a black van is shooting at the cops!  bullets everywhere.,2231
19:40:00,yeah van -- can't exit the backway at gelato.  and now the cops got him!,2232
19:40:22,better than expected - cops block van at gelato. moving to get a better view.,2240
19:40:29,so van tried a t-turn to exit; cop blocked him off; van and cop doors open #troubleatgelato,2247
19:41:07,"black van faces off two cop cars, shots fired, people undercover, not moving until its under control #troubleatgelato",2275
19:41:33,why didnt i stay at the rally? im trapped in here the van is right outsdie the door,2298
19:41:33,cops and the van dude are hiding behind their doors - just like the movies,2300
19:41:33,"van guys behind their doors, cops too #troubleatgelato",2301
19:41:42,can't see if others in the van #troubleatgelato #tag,2307
19:43:00,rt @protoguy omg dude in a black van is shooting at the cops!  bullets everywhere.,2370
19:43:22,#apd officer has been shot by the driver of a black van #abilapost,2395
19:43:33,rt @truccotrucco why didnt i stay at the rally? im trapped in here the van is right outsdie the door,2407
19:43:33,rt @protoguy cops and the van dude are hiding behind their doors - just like the movies,2408
19:43:57,i wonder who this van dude is he looks like he wants to kill the cops,2434
208,looks like there are 3 cop cars and the black van two people in the front of van #shooting,2461
19:44:28,wonder if the van guys are getting nervous or gonna give up #tag,2470
19:45:00,van dude is waving his gun and shouting at cops.  he's crazy!,2504
19:45:13,"rt @megaman @ben @george can't see whos in the van yet, one cop",2519
19:45:22,guy in the van has a gun and he doesn't seem too stable,2526
19:45:40,rt @megaman police starting to move about - still can't see anyone in van - probably empty #tag,2534
19:46:00,just realized the cops shot a lot of bullets and didn't hit the van dude,2555
19:48:00,rt @roger_roger guy just came back - says he looked out the back door and saw a black van and guys with guns.,2621
19:48:13,wanna get my van detailed -recommendations? #blackvansrules,2625
19:49:22,rt @sara_nespola guy in the van has a gun and he doesn't seem too stable,2657
19:58:13,guy in the van keeps yeelling at cops cant hear him but looks mad #standoff,2786
19:58:13,black clothes guys yelling at van guys #tag,2788
19:58:13,#apd reports shooter in black van has a hostage #abilapost,2789
19:58:13,i can hear the police yelling. sounds like the black van guys have captives.,2793
19:59:31,can't see any hostages in the van - they must be in the back,2807
19:59:31,van guy yells back #canthear #tag #cantbegood,2808
20:00:13,rt @megaman black clothes guys yelling at van guys #tag,2829
20:02:13,rt @truccotrucco guy in the van keeps yeelling at cops cant hear him but looks mad #standoff,2842
20:01:11,@ben i don't see anyone from the van. who said that? #tag,2851
20:01:57,im just seeing someone talking to van guys. if there is anyone in the van they are still in there #tag,2860
20:05:57,rt @megaman im just seeing someone talking to van guys. if there is anyone in the van they are still in there #tag,2921
20:10:00,swat guy is talking to van dude trying to get him to give up,3006
20:10:17,this guy in the van is craazy why talk to that cant talk to crazy,3029
20:10:29,police have someone talking to van guys  #tag,3036
20:10:38,can't hear words - van guy sounds mad #tag,3041
20:11:21,they seemed really interested in where that van came from,3065
20:14:21,rt @hennyhenhendrix they seemed really interested in where that van came from,3111
20:15:01,@tomish its a black panel van - no windows. #tag,3121
20:16:14,negotiator guy and van guy still back and forth.  #tag,3140
20:18:01,why has no one put it together? black van shooter rally hostages = pok rally distraction for pok kidnapping #pok #terror,3158
20:18:01,van guy waving gun at the roofs. thinks swats there?  #tag,3159
20:18:01,evacuated witness reports seeing wild driving black van being pursued by two cop cars #abilapost,3160
20:21:02,rt @abilapost witness reports that male driver of black van tried to drive out of gelatogalore parking lot but was blocked then opened fire #abilapost,3199
20:21:03,guy in the black van is screaming something at the cops but cant hear what,3206
20:21:34,i wonder why the cops were chasing this van anyway,3221
20:22:21,think someone in the van just showed a hostage! looked like a girl  #tag,3233
20:27:11,lots of guns pointed at that van #tag,3305
20:30:15,kid says he saw 2 people in the van from the other side of the street #tag,3351
20:31:47,more talk - think van guys are trying to work a deal to leave #tag,3366
20:32:52,i wonder what the cops are offering the van dude to get him to give up,3384
20:35:52,rt @protoguy i wonder what the cops are offering the van dude to get him to give up,3453
20:45:00,nothing new to report: heavily armed #apd swat still in standoff with occupants of black van #abilapost,3539
20:48:00,rt @abilapost nothing new to report: heavily armed #apd swat still in standoff with occupants of black van #abilapost,3569
21:00:00,van guy looking all around? #tag,3688
21:00:04,what is this guy doing? just give up and now hes back in the van #standoff #gelatogalore,3691
21:00:04,action! van guy bac in van #tag,3692
21:00:04,crazy guy is back in the van - what is going on?,3694
21:01:00,yelling from inside the van! #tag,3708
21:01:04,rt @truccotrucco what is this guy doing? just give up and now hes back in the van #standoff #gelatogalore,3711
21:02:00,rt @starz1134 moving van up for sale #blackvan #car4sale,3719
21:03:00,rt @panopticon the screaming guy is back in the van looks like hes in there screaming too - fighting with his partner maybe?,3729
21:04:04,rt @megaman action! van guy bac in van #tag,3737
21:04:05,looks like therye still fighting in the van really animated #standoff,3739
21:06:05,rt @truccotrucco looks like therye still fighting in the van really animated #standoff,3755
21:13:00,someones out of the van! is it over?,3796
21:14:01,other guy is out of the van! its over theyre giving up! #standoff,3805
21:14:01,first van guy out!  its over!  #tag,3806
21:14:47,police are taking two van guys into waiting car #tag,3811
21:15:00,a woman is out of the passenger side van she has her hands up is it over?,3822
21:17:00,rt @truccotrucco someones out of the van! is it over?,3843
21:17:00,rt @megaman @ben its the second van guy!,3844
21:17:01,rt @truccotrucco other guy is out of the van! its over theyre giving up! #standoff,3846
21:17:11,i think there giving up 2 people hands up got out of the van guy & girl,3852
21:18:47,rt @megaman police are taking two van guys into waiting car #tag,3865
21:21:11,a man and woman have surrended to police two more people have left the van i think there hostages,3906
21:24:11,rt @panopticon a man and woman have surrended to police two more people have left the van i think there hostages,3966
