,message,ID
17:11:59,music povided by abila's hometown favorite viktor-e,132
17:13:01,special guest dr. audrey mcconnel newman will be speaking along with lucio jakab and professor lorenzo di stefano viktor-e will be providing music #abilapost,152
17:14:01,rt @abilapost special guest dr. audrey mcconnel newman will be speaking along with lucio jakab and professor lorenzo di stefano viktor-e will be providing music #abilapost,161
17:14:47,to schedule victor-e for your event contact us at viktor-e.kronos,168
8,Cant wait to hear Viktor-E! #POKRally,170
17:14:47,cant wait to hear viktor-e! #pokrally,170
17:14:59,rt @pok music povided by abila's hometown favorite viktor-e,181
17:16:00,viktor-e? more like loser-e. can't decide if he's a has-been or a never-was. #nobodycares,208
22,Lucio Jakab tells it like it is #POK #SOW,296
17:24:00,lucio jakab visits viktor-e in the studio.  watch him try to play the keyboard at viktor-e.kronos/ourfans,314
17:25:45,bringing the message of activism and sustainability to kronosians: viktor-e.kronos,350
17:25:51,viktor-e will be playing our party next tuesday - hear him now! #pokrally,356
17:26:37,look at the jewlry on viktor-tree!  he doesn't get a cut of the ransom #pokrally,369
17:26:51,rt @stuffnstuff viktor-e will be playing our party next tuesday - hear him now! #pokrally,376
17:27:00,"next up: local musicians bert hanns, erik gastov, ellen lomax, lero robeson of viktor-e",381
17:27:00,get ready for some awesome music! local band viktor-e plays music for the cause!,382
17:27:00,viktor-tree - a heart of gold (extorted from other victims) #pokrally,385
17:28:02,my dog is howling better than viktortree at #pokrally,416
17:28:02,viktor-e playing river soldiers.?#pok,417
17:29:02,rt @choconibbs my dog is howling better than viktortree at #pokrally,437
17:31:04,viktor-e is taking the stage!?should be a good show,454
17:32:00,"musician bert hanns of viktor-e introduces tha band and talks about their song """"river soldiers""""""""",465
17:32:55,boycott viktor-e! boycott viktor-e! terrorist supporters are terrorists #pok,475
17:33:00,viktor-e's song 'river soldiers' was inspired by the work pok did for the town of elodis,478
17:34:00,viktor-e playing 'river soldiers' - such a bittersweet haunting song,487
17:34:00,viktor-e is playing a song river soldiers #pokrally #abilapost,489
17:34:00,"viktor-e is playing """"river soldiers"""" it tugs at the heart strings #rememberjuliana #rememberelian #pok""""",490
17:36:00,rt @maha_homeland viktor-e playing 'river soldiers' - such a bittersweet haunting song,513
17:38:02,viktor-e covers th joni mitchell classis big yellow taxi,532
17:38:02,great new song from viktor-e! river soldiers is so powerful #pokrallyinthepark #viktor-e,533
40,great new song from Viktor-E! River Soldiers is so powerful #POKRallyinthePark #viktor-e,533
17:41:02,rt @truthforcadau great new song from viktor-e! river soldiers is so powerful #pokrallyinthepark #viktor-e,561
17:42:00,"viktor-e sings ""big yellow taxi"" by joni mitchell, one of the greatest songwriters of our time",564
17:42:00,viktor-e is playing joni mitchell's big yellow taxi. great song,565
17:42:31,everyone here at the pok rally in the park is singing along with viktor-e to mitchell's big yellow taxi,572
17:42:31,crowd is wild over music from viktor-e,573
17:44:00,what an enthusiastic response from the crowd to viktor-e!,590
17:45:00,viktor-e is bringing their special blend of inspiration and music to the pok rally in the park!,603
17:46:11,"there's still time to join the band at the abila city park, viktor-e will be playing after the pok presentations are done!",608
17:46:31,rt @pok everyone here at the pok rally in the park is singing along with viktor-e to mitchell's big yellow taxi,612
17:48:00,rt @maha_homeland viktor-e is bringing their special blend of inspiration and music to the pok rally in the park!,621
52,classic cover of a classic song Big Yellow Taxi is one of the best! #viktor-e #POKRallyinthepark,623
17:48:13,sylvia thanks viktor-e for joining the pok rally today and looks forward to more music later today,624
17:49:00,viktor-e should collaborate with joni mitchell #wishfulthinking,631
53,Viktor-E should collaborate with Joni Mitchell #wishfulthinking,631
17:49:27,viktor-e wants to thank all the fans who have turned out for a great rally today.,638
17:50:00,rt @truthforcadau viktor-e should collaborate with joni mitchell #wishfulthinking,643
17:50:27,rt @viktor-e viktor-e wants to thank all the fans who have turned out for a great rally today.,650
17:57:47,see viktor-e perform live at viktor-e.kronos/musicvideos,715
18:42:10,viktor-e performing at abila coffee houses every friday this month: viktor-e.kronos/schedule,1154
18:45:22,up next: local band viktor-e plays your favorites!,1232
18:45:47,dr. newman conclused her remarks. viktor-e set to return to the stage.,1253
18:46:11,sylvia marek welcomes viktor-e back on stage to sing their hit 'stand up speak up',1276
18:47:31,ellen and erik interviewed by athenamusiconline: viktor-e.kronos/theband/lomax-gastov-athena,1339
18:49:47,rt @maha_homeland dr. newman conclused her remarks. viktor-e set to return to the stage.,1398
107,guess i need to find out about Hilel the Elder? anybody know? #inspiration #viktor-e,1414
18:52:19,"the crowd cheers as viktor-e sings their hit """"stand up speak up""""""""",1453
18:52:25,"viktor-e is playing """"stand up speak up"""" inspired by ghandi very moving song""""",1459
18:53:10,"'stand up speak up"""" has been covered by other bands across the world. see a mix at viktor-e.kronos/ourmusic/standupspeakup/world""""",1484
18:53:10,"viktor-e playing my favorite """"stand up speak up""""! #pokrallyinthepark""""",1485
110,"Viktor-E playing my favorite """"Stand up Speak up""""! #POKRallyinthepark""""",1485
18:53:19,"rt @pok the crowd cheers as viktor-e sings their hit """"stand up speak up""""""""",1490
18:54:25,"rt @anaregents viktor-e is playing """"stand up speak up"""" inspired by ghandi very moving song""""",1504
19:00:00,viktor-e playing for the next hour courtesy of the pok #pok,1598
19:05:00,stay with us to hear viktor-e play in the abila city park!,1696
19:07:00,viktor-e returns to the stage.,1720
19:07:00,pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1721
19:07:00,viktor-e returns to the stage and will be playing for another hour or so #pokrally #abilapost,1722
19:07:00,i wuz wrong! viktor-e is going to play for an hour! #viktor-e #pokrally,1723
119,theyre playing Circles and if youre not here your missing out! #viktor-e #POK,1724
19:08:00,rt @kronosstar pok rally ends in a concert by the band viktor-e.? the crowd is calmer than usual for a pok rally but police remain vigilant. #kronosstar,1733
19:10:00,rt @anaregents i wuz wrong! viktor-e is going to play for an hour! #viktor-e #pokrally,1756
19:10:00,what makes you dance? viktor-e.kronos/ourlistenerstories,1763
125,dancin time! thanks #POK thanks Sylvia! #POK is peace!,1818
19:15:00,looks like im missing some viktor-e! too bad gelatogalore didnt have a food stand at the rally #pok,1819
