,datetime,message,ID
21,17:03:44,POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,47
45,17:10:00,Follow us @Viktor-E,98
62,17:11:59,Music povided by Abila's hometown favorite Viktor-E,132
71,17:13:00,RT @Viktor-E Follow us @Viktor-E,145
76,17:13:01,"Dr. Audrey McConnell Newman, internationally recognized environmental activist, traveled to Abila to speak for the POK rally",150
88,17:14:47,Cant wait to hear Viktor-E! #POKRally,170
94,17:14:59,RT @POK Music povided by Abila's hometown favorite Viktor-E,181
107,17:16:00,Bert Hanns: We are so very happy to be a part of this day of Peace and Love at Abila City Park.,204
110,17:16:00,Viktor-E? More like Loser-E. Can't decide if he's a has-been or a never-was. #nobodycares,208
120,17:18:00,Lucio quotes Albert Einstein to look into nature and you will understand everything better,229
121,17:18:00,Lucio Jakab says to look to nature to understand everything,230
131,17:19:00,RT @Viktor-E Bert Hanns: We are so very happy to be a part of this day of Peace and Love at Abila City Park.,248
164,17:24:00,I thought there was supposed to be a taco truck here,318
174,17:25:01,Thats bad I have carpool tunnel #POK #Rally #Grammar,338
180,17:25:45,Bringing the message of activism and sustainability to Kronosians: Viktor-E.kronos,350
181,17:25:45,Waiting for the next criminal to appear #POKRally,351
191,17:26:37,Jakab: Wildlands are our legacy for our children,365
192,17:26:37,Jakab: Nature is the legacy we leave to our children,366
193,17:26:37,Jakab says the wildlands are a legacy for our children,367
201,17:26:58,"Jakab:  If you do one thing today, make a difference",377
202,17:26:58,Inspirational talk from Lucio Jakab:  Make a difference today,378
204,17:27:00,"Next up: Local musicians Bert Hanns, Erik Gastov, Ellen Lomax, Lero Robeson of Viktor-E",381
205,17:27:00,Get ready for some awesome music! Local band Viktor-E plays music for the cause!,382
208,17:27:00,Viktor-Tree - a heart of gold (extorted from other victims) #POKRally,385
227,17:28:02,Viktor-E playing River Soldiers.?#POK,417
239,17:30:00,Erik's guitar is a 1965 12-string Nashville-tuned custom Rinaldo maple with a rosewood fingerboard,444
244,17:31:04,Bert Hanns grew up on a small farm near the Notios Mountain Range,453
250,17:32:00,"Musician Bert Hanns of Viktor-E introduces tha band and talks about their song """"River Soldiers""""""""",465
251,17:32:00,Then why did you book Victor? #POKRally,467
253,17:32:55,Erik Gastov and Lero Robeson went to the same Abila secondary school - but didn't meet until after they'd graduated!,473
258,17:33:00,Viktor-E's song 'River Soldiers' was inspired by the work POK did for the town of Elodis,478
259,17:33:00,#RememberJuliana #RememberElian #VivaSylvia,479
263,17:34:00,Viktor-E playing 'River Soldiers' - such a bittersweet haunting song,487
264,17:34:00,Viktor-E is playing a song River Soldiers #POKrally #AbilaPost,489
265,17:34:00,"Viktor-E is playing """"river soldiers"""" it tugs at the heart strings #RememberJuliana #RememberElian #POK""""",490
266,17:34:00,River Soldiers #Remember Juliana #JusticeForElian,491
267,17:34:04,RT @Viktor-E Bert Hanns grew up on a small farm near the Notios Mountain Range,493
273,17:36:00,RT @maha_Homeland Viktor-E playing 'River Soldiers' - such a bittersweet haunting song,513
278,17:38:02,Viktor-E covers th Joni Mitchell classis Big Yellow Taxi,532
279,17:38:02,great new song from Viktor-E! River Soldiers is so powerful #POKRallyinthePark #viktor-e,533
281,17:38:14,River Soldiers new favorite! #Viktor-E #POKRally,536
285,17:41:02,RT @truthforcadau great new song from Viktor-E! River Soldiers is so powerful #POKRallyinthePark #viktor-e,561
286,17:42:00,"Viktor-E sings ""Big Yellow Taxi"" by Joni Mitchell, one of the greatest songwriters of our time",564
287,17:42:00,Viktor-E is playing Joni Mitchell's Big Yellow Taxi. Great song,565
290,17:42:14,RT @ReggieWassali River Soldiers new favorite! #Viktor-E #POKRally,569
291,17:42:31,everyone here at the POK Rally in the Park is singing along with Viktor-E to Mitchell's Big Yellow Taxi,572
292,17:42:31,Crowd is wild over music from Viktor-E,573
295,17:43:09,Bert credits Joni Mitchell with inspiring him to show his community activism through music.,584
299,17:44:00,What an enthusiastic response from the crowd to Viktor-E!,590
301,17:44:09,RT @Viktor-E Bert credits Joni Mitchell with inspiring him to show his community activism through music.,595
304,17:45:00,Viktor-E is bringing their special blend of inspiration and music to the POK Rally in the Park!,603
306,17:46:11,"There's still time to join the band at the Abila City Park, Viktor-E will be playing after the POk presentations are done!",608
308,17:46:31,RT @POK everyone here at the POK Rally in the Park is singing along with Viktor-E to Mitchell's Big Yellow Taxi,612
309,17:48:00,RT @maha_Homeland Viktor-E is bringing their special blend of inspiration and music to the POK Rally in the Park!,621
311,17:48:00,classic cover of a classic song Big Yellow Taxi is one of the best! #viktor-e #POKRallyinthepark,623
312,17:48:13,Sylvia thanks Viktor-E for joining the POK rally today and looks forward to more music later today,624
314,17:49:00,Viktor-E should collaborate with Joni Mitchell #wishfulthinking,631
