StateProvince,Category,Manufacturer,Segment,SubCategory,OrderDate,OrderID,ProductName,Profit,ProfitCY,Sales,SalesCY
Texas,Office Supplies,Message Book,Consumer,Paper,1/3/2019,US-2019-103800,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",$0.01K,,$0.0K,
Illinois,Office Supplies,GBC,Home Office,Binders,1/4/2019,US-2019-112326,GBC Standard Plastic Binding Systems Combs,-$0.01K,,$0.0K,
Illinois,Office Supplies,Avery,Home Office,Labels,1/4/2019,US-2019-112326,Avery 508,$0.00K,,$0.0K,
Illinois,Office Supplies,SAFCO,Home Office,Storage,1/4/2019,US-2019-112326,SAFCO Boltless Steel Shelving,-$0.06K,,$0.3K,
Pennsylvania,Office Supplies,Avery,Consumer,Art,1/5/2019,US-2019-141817,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",$0.00K,,$0.0K,
Kentucky,Furniture,Global,Home Office,Chairs,1/6/2019,US-2019-167199,Global Deluxe High-Back Manager's Chair,$0.75K,,$2.6K,
Kentucky,Office Supplies,Rogers,Home Office,Art,1/6/2019,US-2019-167199,Rogers Handheld Barrel Pencil Sharpener,$0.00K,,$0.0K,
Georgia,Office Supplies,Dixon,Corporate,Art,1/6/2019,US-2019-106054,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",$0.01K,,$0.0K,
Kentucky,Office Supplies,Ibico,Home Office,Binders,1/6/2019,US-2019-167199,Ibico Hi-Tech Manual Binding System,$0.27K,,$0.6K,
Kentucky,Office Supplies,Alliance,Home Office,Fasteners,1/6/2019,US-2019-167199,"Alliance Super-Size Bands, Assorted Sizes",$0.00K,,$0.0K,
Kentucky,Office Supplies,Southworth,Home Office,Paper,1/6/2019,US-2019-167199,Southworth 25% Cotton Granite Paper & Envelopes,$0.00K,,$0.0K,
California,Office Supplies,Xerox,Consumer,Paper,1/6/2019,US-2019-130813,Xerox 225,$0.01K,,$0.0K,
Kentucky,Technology,Other,Home Office,Phones,1/6/2019,US-2019-167199,Wireless Extenders zBoost YX545 SOHO Signal Booster,$0.20K,,$0.8K,
Kentucky,Technology,GE,Home Office,Phones,1/6/2019,US-2019-167199,GE 30524EE4,$0.11K,,$0.4K,
Texas,Furniture,Howard Miller,Consumer,Furnishings,1/7/2019,US-2019-105417,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",-$0.05K,,$0.1K,
Texas,Office Supplies,Acco,Consumer,Binders,1/7/2019,US-2019-105417,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",-$0.02K,,$0.0K,
Texas,Office Supplies,Newell,Consumer,Art,1/9/2019,US-2019-135405,Newell 312,$0.00K,,$0.0K,
Texas,Technology,Memorex,Consumer,Accessories,1/9/2019,US-2019-135405,Memorex Micro Travel Drive 8 GB,$0.01K,,$0.0K,
Virginia,Furniture,Howard Miller,Corporate,Furnishings,1/10/2019,US-2019-149020,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",$0.02K,,$0.1K,
Virginia,Office Supplies,Avery,Corporate,Labels,1/10/2019,US-2019-149020,Avery 482,$0.00K,,$0.0K,
Delaware,Furniture,DAX,Consumer,Furnishings,1/11/2019,US-2019-130092,"DAX Value U-Channel Document Frames, Easel Back",$0.00K,,$0.0K,
California,Furniture,O'Sullivan,Consumer,Bookcases,1/13/2019,US-2019-157147,"O'Sullivan Elevations Bookcase, Cherry Finish",$0.00K,,$0.3K,
South Carolina,Furniture,Global,Consumer,Chairs,1/13/2019,US-2019-109232,Global Highback Leather Tilter in Burgundy,$0.09K,,$0.5K,
California,Office Supplies,Other,Consumer,Art,1/13/2019,US-2019-157147,4009 Highlighters by Sanford,$0.01K,,$0.0K,
Ohio,Office Supplies,Avery,Consumer,Binders,1/13/2019,US-2019-118192,Avery Metallic Poly Binders,$0.00K,,$0.0K,
Louisiana,Office Supplies,3-ring staple pack,Corporate,Binders,1/13/2019,US-2019-162775,3-ring staple pack,$0.00K,,$0.0K,
Louisiana,Office Supplies,Other,Corporate,Envelopes,1/13/2019,US-2019-162775,Brown Kraft Recycled Envelopes,$0.03K,,$0.1K,
Louisiana,Office Supplies,Staple envelope,Corporate,Envelopes,1/13/2019,US-2019-162775,Staple envelope,$0.01K,,$0.0K,
Ohio,Office Supplies,Xerox,Consumer,Paper,1/13/2019,US-2019-118192,Xerox 1923,$0.01K,,$0.0K,
Louisiana,Office Supplies,Fellowes,Corporate,Storage,1/13/2019,US-2019-162775,Fellowes Stor/Drawer Steel Plus Storage Drawers,$0.03K,,$0.6K,
California,Office Supplies,Tennsco,Consumer,Storage,1/13/2019,US-2019-157147,Tennsco 6- and 18-Compartment Lockers,$0.24K,,$1.3K,
Louisiana,Technology,Plantronics,Corporate,Accessories,1/13/2019,US-2019-162775,Plantronics S12 Corded Telephone Headset System,$0.26K,,$0.6K,
Pennsylvania,Furniture,Sauder,Corporate,Bookcases,1/14/2019,US-2019-149524,Sauder Cornerstone Collection Library,-$0.05K,,$0.1K,
Georgia,Technology,Logitech,Consumer,Accessories,1/15/2019,US-2019-103366,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,$0.07K,,$0.1K,
Pennsylvania,Furniture,DAX,Consumer,Furnishings,1/16/2019,US-2019-115791,DAX Black Cherry Wood-Tone Poster Frame,$0.03K,,$0.1K,
Pennsylvania,Office Supplies,GBC,Consumer,Binders,1/16/2019,US-2019-115791,GBC Linen Binding Covers,-$0.01K,,$0.0K,
Pennsylvania,Office Supplies,Other,Consumer,Labels,1/16/2019,US-2019-115791,Round Specialty Laser Printer Labels,$0.01K,,$0.0K,
Pennsylvania,Technology,AT&T,Consumer,Phones,1/16/2019,US-2019-115791,AT&T 841000 Phone,-$0.03K,,$0.1K,
Oregon,Office Supplies,Fellowes,Corporate,Appliances,1/18/2019,US-2019-123477,Fellowes Mighty 8 Compact Surge Protector,$0.01K,,$0.1K,
Arizona,Furniture,O'Sullivan,Consumer,Bookcases,1/19/2019,US-2019-146591,O'Sullivan 4-Shelf Bookcase in Odessa Pine,-$0.32K,,$0.2K,
Arizona,Office Supplies,GBC,Consumer,Binders,1/19/2019,US-2019-146591,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-$0.02K,,$0.0K,
Arizona,Office Supplies,Tyvek,Consumer,Envelopes,1/19/2019,US-2019-146591,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",$0.04K,,$0.1K,
Arizona,Office Supplies,TOPS,Consumer,Paper,1/19/2019,US-2019-146591,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",$0.02K,,$0.1K,
Arkansas,Furniture,Hon,Consumer,Chairs,1/20/2019,US-2019-147627,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,$0.22K,,$1.1K,
Michigan,Furniture,Ultra,Consumer,Furnishings,1/20/2019,US-2019-167927,Ultra Door Push Plate,$0.00K,,$0.0K,
Michigan,Furniture,Eldon,Consumer,Furnishings,1/20/2019,US-2019-167927,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,$0.03K,,$0.3K,
Arkansas,Furniture,Eldon,Consumer,Furnishings,1/20/2019,US-2019-147627,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$0.01K,,$0.0K,
California,Furniture,Eldon,Consumer,Furnishings,1/20/2019,US-2019-148614,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$0.01K,,$0.0K,
Michigan,Office Supplies,Holmes,Consumer,Appliances,1/20/2019,US-2019-167927,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$0.09K,,$0.2K,
Arkansas,Office Supplies,Newell,Consumer,Art,1/20/2019,US-2019-147627,Newell 351,$0.01K,,$0.0K,
Arkansas,Office Supplies,Newell,Consumer,Art,1/20/2019,US-2019-147627,Newell 327,$0.00K,,$0.0K,
Michigan,Office Supplies,Panasonic,Consumer,Art,1/20/2019,US-2019-167927,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,$0.01K,,$0.0K,
Michigan,Office Supplies,Acco,Consumer,Binders,1/20/2019,US-2019-167927,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",$0.01K,,$0.0K,
Tennessee,Office Supplies,GBC,Corporate,Binders,1/20/2019,US-2019-147774,GBC DocuBind TL200 Manual Binding Machine,-$0.05K,,$0.1K,
Michigan,Office Supplies,Storex,Consumer,Binders,1/20/2019,US-2019-167927,Storex Dura Pro Binders,$0.01K,,$0.0K,
Arkansas,Office Supplies,Staple envelope,Consumer,Envelopes,1/20/2019,US-2019-147627,Staple envelope,$0.01K,,$0.0K,
California,Office Supplies,Wirebound,Consumer,Paper,1/20/2019,US-2019-148614,"Wirebound Service Call Books, 5 1/2"" x 4""",$0.01K,,$0.0K,
Michigan,Office Supplies,Eldon,Consumer,Storage,1/20/2019,US-2019-167927,Eldon Fold 'N Roll Cart System,$0.00K,,$0.0K,
Michigan,Office Supplies,Fellowes,Consumer,Storage,1/20/2019,US-2019-167927,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,$0.02K,,$0.1K,
Arkansas,Technology,Apple,Consumer,Phones,1/20/2019,US-2019-147627,Apple iPhone 5C,$0.18K,,$0.7K,
Florida,Furniture,Ultra,Consumer,Furnishings,1/21/2019,US-2019-110422,Ultra Door Pull Handle,$0.00K,,$0.0K,
Indiana,Office Supplies,Alliance,Consumer,Fasteners,1/23/2019,US-2019-146997,"Alliance Big Bands Rubber Bands, 12/Pack",$0.00K,,$0.0K,
Nevada,Office Supplies,Xerox,Consumer,Paper,1/23/2019,US-2019-102645,Xerox 195,$0.02K,,$0.0K,
South Dakota,Furniture,SAFCO,Corporate,Bookcases,1/26/2019,US-2019-167997,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",$0.04K,,$0.1K,
Virginia,Furniture,Eldon,Home Office,Furnishings,1/26/2019,US-2019-155502,Eldon Image Series Black Desk Accessories,$0.00K,,$0.0K,
Virginia,Furniture,GE,Home Office,Furnishings,1/26/2019,US-2019-155502,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",$0.03K,,$0.1K,
South Dakota,Office Supplies,Wilson Jones,Corporate,Binders,1/26/2019,US-2019-167997,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,$0.01K,,$0.0K,
Virginia,Office Supplies,REDIFORM,Home Office,Paper,1/26/2019,US-2019-155502,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",$0.01K,,$0.0K,
Virginia,Office Supplies,Eureka,Home Office,Paper,1/26/2019,US-2019-155502,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",$0.01K,,$0.0K,
Virginia,Office Supplies,SAFCO,Home Office,Storage,1/26/2019,US-2019-155502,"SAFCO Commercial Wire Shelving, 72h",$0.00K,,$0.5K,
Virginia,Technology,Jabra,Home Office,Phones,1/26/2019,US-2019-155502,Jabra SPEAK 410,$0.05K,,$0.2K,
Virginia,Technology,Other,Home Office,Phones,1/26/2019,US-2019-155502,Macally Suction Cup Mount,$0.00K,,$0.2K,
California,Furniture,Balt,Consumer,Tables,1/27/2019,US-2019-117163,Balt Split Level Computer Training Table,-$0.02K,,$0.3K,
California,Office Supplies,Dixon,Consumer,Art,1/27/2019,US-2019-117163,Dixon Ticonderoga Core-Lock Colored Pencils,$0.01K,,$0.0K,
California,Office Supplies,Other,Consumer,Storage,1/27/2019,US-2019-117163,Recycled Steel Personal File for Hanging File Folders,$0.01K,,$0.1K,
New York,Office Supplies,Pressboard,Consumer,Binders,1/28/2019,US-2019-100328,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",$0.00K,,$0.0K,
Michigan,Office Supplies,Xerox,Consumer,Paper,1/30/2019,US-2019-134103,Xerox 1972,$0.00K,,$0.0K,
Michigan,Office Supplies,Space Solutions,Consumer,Storage,1/30/2019,US-2019-134103,Space Solutions HD Industrial Steel Shelving.,$0.01K,,$0.2K,
California,Furniture,Sauder,Consumer,Bookcases,1/31/2019,US-2019-115161,"Sauder Facets Collection Library, Sky Alder Finish",$0.00K,,$0.3K,
Wisconsin,Technology,Enermax,Consumer,Accessories,2/1/2019,US-2019-140795,Enermax Aurora Lite Keyboard,$0.21K,,$0.5K,
Florida,Office Supplies,Other,Consumer,Binders,2/2/2019,US-2019-123400,Surelock Post Binders,-$0.01K,,$0.0K,
California,Office Supplies,Other,Home Office,Fasteners,2/2/2019,US-2019-139857,Staples,$0.01K,,$0.0K,
Florida,Technology,AT&T,Consumer,Phones,2/2/2019,US-2019-123400,AT&T 17929 Lendline Telephone,$0.01K,,$0.2K,
Washington,Office Supplies,Avery,Consumer,Binders,2/3/2019,US-2019-111059,Avery Durable Poly Binders,$0.00K,,$0.0K,
Washington,Office Supplies,Ibico,Consumer,Binders,2/3/2019,US-2019-111059,Ibico Laser Imprintable Binding System Covers,$0.03K,,$0.1K,
California,Office Supplies,GBC,Corporate,Binders,2/4/2019,US-2019-104808,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",$0.01K,,$0.0K,
California,Office Supplies,GBC,Home Office,Binders,2/4/2019,US-2019-107181,GBC Recycled Grain Textured Covers,$0.03K,,$0.1K,
California,Office Supplies,Message Book,Home Office,Paper,2/4/2019,US-2019-107181,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",$0.02K,,$0.0K,
Illinois,Office Supplies,Avery,Consumer,Binders,2/6/2019,US-2019-108182,"Avery Flip-Chart Easel Binder, Black",-$0.01K,,$0.0K,
Virginia,Office Supplies,Avery,Corporate,Labels,2/6/2019,US-2019-131905,Avery 480,$0.01K,,$0.0K,
Virginia,Technology,AT&T,Corporate,Phones,2/6/2019,US-2019-131905,AT&T CL82213,$0.04K,,$0.1K,
Virginia,Technology,Other,Corporate,Phones,2/6/2019,US-2019-131905,Aastra 57i VoIP phone,$0.04K,,$0.2K,
New York,Office Supplies,Acco,Corporate,Storage,2/7/2019,US-2019-169390,Acco Perma 4000 Stacking Storage Drawers,$0.01K,,$0.1K,
New Jersey,Technology,Maxell,Corporate,Accessories,2/7/2019,US-2019-107755,Maxell DVD-RAM Discs,$0.05K,,$0.1K,
Nevada,Furniture,Master Caster,Home Office,Furnishings,2/8/2019,US-2019-125759,"Master Caster Door Stop, Large Brown",$0.01K,,$0.0K,
Missouri,Furniture,Global,Consumer,Chairs,2/11/2019,US-2019-168368,"Global Value Mid-Back Manager's Chair, Gray",$0.02K,,$0.1K,
Missouri,Furniture,Other,Consumer,Furnishings,2/11/2019,US-2019-168368,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",$0.05K,,$0.3K,
Virginia,Furniture,Hon,Consumer,Tables,2/11/2019,US-2019-127614,Hon 2111 Invitation Series Corner Table,$0.08K,,$1.3K,
Virginia,Office Supplies,Wilson Jones,Consumer,Binders,2/11/2019,US-2019-127614,Wilson Jones Leather-Like Binders with DublLock Round Rings,$0.01K,,$0.0K,
Missouri,Office Supplies,Other,Consumer,Binders,2/11/2019,US-2019-168368,VariCap6 Expandable Binder,$0.02K,,$0.1K,
Missouri,Office Supplies,Wilson Jones,Consumer,Binders,2/11/2019,US-2019-168368,Wilson Jones Turn Tabs Binder Tool for Ring Binders,$0.00K,,$0.0K,
Missouri,Office Supplies,Avery,Consumer,Labels,2/11/2019,US-2019-168368,Avery 483,$0.01K,,$0.0K,
Missouri,Office Supplies,Fellowes,Consumer,Storage,2/11/2019,US-2019-168368,Fellowes Neat Ideas Storage Cubes,$0.00K,,$0.1K,
Virginia,Technology,Enermax,Consumer,Accessories,2/11/2019,US-2019-127614,Enermax Aurora Lite Keyboard,$0.10K,,$0.2K,
California,Furniture,Global,Consumer,Chairs,2/12/2019,US-2019-110674,"Global Geo Office Task Chair, Gray",-$0.02K,,$0.1K,
Washington,Office Supplies,Belkin,Corporate,Appliances,2/14/2019,US-2019-121762,Belkin 8 Outlet Surge Protector,$0.02K,,$0.1K,
Texas,Office Supplies,Other,Consumer,Paper,2/14/2019,US-2019-107706,"Memo Book, 100 Message Capacity, 5 3/8¡± x 11¡±",$0.01K,,$0.0K,
Washington,Office Supplies,Other,Corporate,Supplies,2/14/2019,US-2019-121762,Compact Automatic Electric Letter Opener,$0.00K,,$0.2K,
Washington,Technology,Logitech,Corporate,Accessories,2/14/2019,US-2019-121762,Logitech G600 MMO Gaming Mouse,$0.09K,,$0.2K,
Washington,Office Supplies,Pressboard,Corporate,Binders,2/15/2019,US-2019-165568,Pressboard Data Binders by Wilson Jones,$0.01K,,$0.0K,
Texas,Office Supplies,Holmes,Consumer,Appliances,2/16/2019,US-2019-122567,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",-$0.01K,,$0.0K,
Texas,Office Supplies,Wilson Jones,Consumer,Binders,2/16/2019,US-2019-122567,Wilson Jones Easy Flow II Sheet Lifters,$0.00K,,$0.0K,
Illinois,Office Supplies,Staples in misc. colors,Consumer,Art,2/17/2019,US-2019-154165,Staples in misc. colors,$0.01K,,$0.1K,
Texas,Furniture,DAX,Consumer,Furnishings,2/18/2019,US-2019-165589,"DAX Copper Panel Document Frame, 5 x 7 Size",-$0.01K,,$0.0K,
Texas,Office Supplies,Akro,Consumer,Storage,2/18/2019,US-2019-152905,Akro Stacking Bins,$0.00K,,$0.0K,
Indiana,Furniture,Master Caster,Corporate,Furnishings,2/20/2019,US-2019-109491,"Master Caster Door Stop, Brown",$0.01K,,$0.0K,
California,Office Supplies,Xerox,Home Office,Paper,2/20/2019,US-2019-164903,Xerox 204,$0.01K,,$0.0K,
Indiana,Technology,Enermax,Corporate,Accessories,2/20/2019,US-2019-109491,Enermax Briskie RF Wireless Keyboard and Mouse Combo,$0.02K,,$0.1K,
Illinois,Office Supplies,GBC,Consumer,Binders,2/21/2019,US-2019-165540,GBC Standard Plastic Binding Systems Combs,-$0.01K,,$0.0K,
California,Office Supplies,Xerox,Consumer,Paper,2/22/2019,US-2019-133354,Xerox 220,$0.01K,,$0.0K,
Texas,Office Supplies,GBC,Home Office,Binders,2/23/2019,US-2019-103744,GBC Plastic Binding Combs,-$0.01K,,$0.0K,
Texas,Office Supplies,Staple-on labels,Home Office,Labels,2/23/2019,US-2019-103744,Staple-on labels,$0.00K,,$0.0K,
Oregon,Office Supplies,TOPS,Consumer,Paper,2/24/2019,US-2019-137680,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",$0.01K,,$0.0K,
Oregon,Office Supplies,Message Book,Consumer,Paper,2/24/2019,US-2019-137680,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",$0.01K,,$0.0K,
Ohio,Office Supplies,Zebra,Consumer,Art,2/27/2019,US-2019-156545,Zebra Zazzle Fluorescent Highlighters,$0.00K,,$0.0K,
Illinois,Furniture,Novimex,Home Office,Chairs,3/1/2019,US-2019-113880,Novimex Swivel Fabric Task Chair,-$0.17K,,$0.6K,
Texas,Furniture,Other,Consumer,Chairs,3/1/2019,US-2019-131009,Harbour Creations Steel Folding Chair,$0.00K,,$0.4K,
Washington,Furniture,Global,Consumer,Chairs,3/1/2019,US-2019-104269,Global Deluxe High-Back Manager's Chair,$0.05K,,$0.5K,
Texas,Furniture,DAX,Consumer,Furnishings,3/1/2019,US-2019-131009,DAX Black Cherry Wood-Tone Poster Frame,-$0.03K,,$0.1K,
Texas,Furniture,Bevis,Consumer,Tables,3/1/2019,US-2019-168312,Bevis Round Conference Room Tables and Bases,-$0.04K,,$0.4K,
